order_id,customer_id,order_date,order_value
O0000065,C00028,9/20/2023,247.62
O0000066,C00028,1/3/2025,275.23
O0000067,C00028,9/13/2025,-194.7
O0000068,C00029,1/5/2023,233.5
O0000069,C00029,9/3/2023,234.99
O0000070,C00030,9/18/2023,353.71
O0000071,C00030,2/9/2024,144.52
O0000072,C00030,5/21/2024,178.95
O0000073,C00030,7/24/2025,272.33
O0000074,C00031,10/23/2023,167.97
O0000075,C00031,12/28/2023,342.94
O0000076,C00031,4/1/2024,117.34
O0000077,C00031,1/19/2025,346.43
O0000078,C00031,3/31/2025,264.45
O0000079,C00032,3/18/2024,241.6
O0000080,C00032,9/8/2025,166.7
O0000081,C00033,9/9/2023,315.52
O0000082,C00033,6/18/2025,216.22
O0000083,C00034,3/26/2023,250.24
O0000084,C00035,7/25/2024,-263.07
O0000085,C00036,6/19/2025,185.37
O0000086,C00037,11/14/2024,177.21
O0000087,C00037,12/7/2024,313.31
O0000088,C00038,1/14/2024,107.31
O0000089,C00038,4/19/2024,244.39
O0000090,C00038,6/4/2024,313.17
O0000091,C00038,6/9/2024,189.9
O0000092,C00038,5/8/2025,189.15
O0000093,C00038,12/20/2025,290.44
O0000094,C00039,3/7/2024,305.33
O0000095,C00040,2/21/2024,276.96
O0000096,C00040,3/18/2024,203.07
O0000097,C00040,6/17/2024,250.88
O0000098,C00040,6/25/2024,270.82
O0000099,C00040,3/28/2025,280.05
O0000100,C00041,1/26/2023,269.41
O0000101,C00042,9/12/2024,-192.07
O0000102,C00043,8/27/2025,101.3
O0000103,C00044,3/21/2024,219.82
O0000104,C00044,7/9/2025,173.82
O0000105,C00044,9/20/2025,234.68
O0000106,C00045,1/1/2024,344.69
O0000107,C00045,5/26/2024,164.46
O0000108,C00045,6/10/2024,119.32
O0000109,C00045,11/19/2025,260.94
O0000110,C00046,1/24/2023,266.56
O0000111,C00046,7/17/2023,-187.8
O0000112,C00046,10/8/2023,231.56
O0000113,C00046,3/31/2025,169.72
O0000114,C00046,4/3/2025,189.41
O0000115,C00046,4/4/2025,173.37
O0000116,C00047,8/18/2023,299.46
O0000117,C00047,9/19/2023,207.58
O0000118,C00047,10/29/2023,363.16
O0000119,C00047,3/13/2024,262.63
O0000120,C00047,6/5/2024,219.9
O0000121,C00048,3/8/2025,243.44
O0000122,C00049,6/19/2024,221.89
O0000123,C00050,7/13/2023,314.08
O0000124,C00050,10/13/2024,359.96
O0000125,C00050,1/14/2025,209.45
O0000126,C00050,8/20/2025,262.27
O0000127,C00050,11/20/2025,269.44
O0000128,C00051,5/8/2023,181.11
O0000129,C00051,10/11/2023,129.76
O0000130,C00051,1/9/2024,206.98
O0000131,C00051,6/28/2025,255.84
O0000132,C00052,3/3/2023,292.09
O0000133,C00052,3/17/2023,216.1
O0000134,C00052,3/16/2024,168.06
O0000135,C00052,6/6/2024,281.73
O0000136,C00052,10/26/2024,374.35
O0000137,C00053,3/13/2024,273.04
O0000138,C00053,1/25/2025,132.14
O0000139,C00053,6/18/2025,-158.42
O0000140,C00053,9/26/2025,197.69
O0000141,C00053,12/6/2025,344.99
O0000142,C00054,3/16/2024,346.48
O0000143,C00054,6/19/2024,209.1
O0000144,C00054,1/2/2025,141.59
O0000145,C00054,4/2/2025,307.43
O0000146,C00054,5/3/2025,290.43
O0000147,C00054,6/24/2025,307.19
O0000148,C00055,8/22/2024,207.24
O0000149,C00056,4/22/2023,153.12
O0000150,C00057,3/10/2023,327.82
O0000151,C00057,3/18/2023,246.43
O0000152,C00057,8/10/2024,243.19
O0000153,C00057,11/4/2024,397.68
O0000154,C00057,8/20/2025,181.87
O0000155,C00058,10/22/2023,298.72
O0000156,C00058,11/9/2023,188.96
O0000157,C00058,12/13/2023,267.85
O0000158,C00058,7/19/2025,244.85
O0000159,C00058,10/3/2025,238.48
O0000160,C00059,8/9/2023,184.42
O0000161,C00060,6/18/2023,174.13
O0000162,C00060,12/24/2023,201.22
O0000163,C00061,1/13/2024,299.5
O0000164,C00062,10/3/2024,235.54
O0000165,C00062,11/22/2024,296.49
O0000166,C00062,4/16/2025,304.79
O0000167,C00062,5/19/2025,173.93
O0000168,C00062,5/21/2025,51.95
O0000169,C00062,12/2/2025,143.64
O0000170,C00063,4/22/2023,284.25
O0000171,C00064,8/18/2023,212.51
O0000172,C00064,8/24/2023,228.07
O0000173,C00064,10/21/2024,290.46
O0000174,C00065,2/9/2023,116.78
O0000175,C00065,7/28/2024,263.59
O0000176,C00065,10/12/2024,217.01
O0000177,C00065,11/16/2024,282.84
O0000178,C00066,10/25/2023,313.85
O0000179,C00067,9/3/2023,234.42
O0000180,C00067,10/3/2023,178.03
O0000181,C00067,11/5/2023,157.22
O0000182,C00067,3/27/2024,352.68
O0000183,C00067,5/5/2024,224.62
O0000184,C00067,12/18/2024,164.44
O0000185,C00068,7/10/2024,163.76
O0000186,C00069,3/2/2023,157.58
O0000187,C00069,12/10/2023,-171.56
O0000188,C00069,1/15/2024,312.93
O0000189,C00069,6/20/2024,190.72
O0000190,C00069,8/2/2025,126.01
O0000191,C00069,10/3/2025,207.4
O0000192,C00070,7/20/2023,194.17
O0000193,C00070,10/2/2023,251.94
O0000194,C00070,10/23/2023,219.96
O0000195,C00070,3/18/2024,329.15
O0000196,C00070,12/21/2024,269.41
O0000197,C00070,1/8/2025,417.51
O0000198,C00071,10/3/2023,228.49
O0000199,C00071,11/13/2025,201.89
O0000200,C00072,2/3/2023,237.07
O0000201,C00073,4/24/2023,245.93
O0000202,C00074,9/5/2024,246.36
O0000203,C00074,10/29/2025,174.56
O0000204,C00075,1/17/2023,166.13
O0000205,C00075,3/4/2023,218.39
O0000206,C00075,9/18/2023,151.28
O0000207,C00075,11/26/2023,274.47
O0000208,C00075,9/9/2024,238.91
O0000209,C00076,2/28/2023,217.03
O0000210,C00076,2/13/2025,313.75
O0000211,C00076,10/17/2025,260.08
O0000212,C00077,3/3/2023,244.08
O0000213,C00077,8/6/2023,239.41
O0000214,C00077,7/14/2024,140.06
O0000215,C00077,11/6/2024,-253.03
O0000216,C00077,7/24/2025,227.47
O0000217,C00078,8/20/2025,271.33
O0000218,C00079,8/12/2023,358.9
O0000219,C00079,3/27/2024,378.49
O0000220,C00079,6/21/2024,167.75
O0000221,C00079,4/21/2025,253.9
O0000222,C00079,8/12/2025,246.13
O0000223,C00080,3/16/2023,199.16
O0000224,C00080,9/10/2024,342.22
O0000225,C00080,5/1/2025,303.76
O0000226,C00080,7/13/2025,238.97
O0000227,C00080,7/31/2025,131.33
O0000228,C00081,7/6/2024,240.88
O0000229,C00081,3/26/2025,263.91
O0000230,C00081,6/23/2025,205.92
O0000231,C00081,7/22/2025,171
O0000232,C00081,9/23/2025,305.82
O0000233,C00081,12/13/2025,270.29
O0000234,C00082,12/23/2023,309.17
O0000235,C00082,6/25/2024,180.84
O0000236,C00082,9/29/2024,290.09
O0000237,C00083,7/28/2024,131.49
O0000238,C00084,1/10/2023,410.64
O0000239,C00084,5/9/2023,274.29
O0000240,C00084,10/12/2023,173.94
O0000241,C00084,10/17/2023,237.01
O0000242,C00085,11/18/2023,273.62
O0000243,C00085,8/29/2025,291.97
O0000244,C00085,9/13/2025,174.76
O0000245,C00086,11/7/2023,348.21
O0000246,C00087,6/7/2024,231.27
O0000247,C00087,5/17/2025,135.71
O0000248,C00087,6/15/2025,199.3
O0000249,C00087,10/17/2025,316.21
O0000250,C00088,1/5/2023,211.4
O0000251,C00089,9/20/2025,252.31
O0000252,C00090,2/9/2023,201.31
O0000253,C00090,2/11/2024,328.87
O0000254,C00090,7/18/2024,140.96
O0000255,C00091,7/2/2024,133.05
O0000256,C00092,8/26/2023,250.87
O0000257,C00092,7/15/2024,354.77
O0000258,C00092,6/24/2025,298.48
O0000259,C00092,12/26/2025,164.28
O0000260,C00093,1/23/2023,146.35
O0000261,C00094,7/22/2023,125.54
O0000262,C00094,9/28/2024,82.53
O0000263,C00094,10/8/2024,-293.74
O0000264,C00094,11/1/2025,170.71
O0000265,C00094,12/17/2025,302.65
O0000266,C00095,5/26/2023,253.03
O0000267,C00095,4/2/2024,312.47
O0000268,C00096,6/5/2024,254.45
O0000269,C00097,2/6/2023,256.71
O0000270,C00097,2/17/2023,162.13
O0000271,C00097,4/30/2023,244.29
O0000272,C00097,4/17/2024,195.58
O0000273,C00097,2/10/2025,219.98
O0000274,C00097,12/8/2025,371.71
O0000275,C00098,10/13/2023,97.91
O0000276,C00098,5/6/2024,221.51
O0000277,C00098,7/23/2025,128.56
O0000278,C00098,8/22/2025,260.2
O0000279,C00098,12/14/2025,402.37
O0000280,C00098,12/19/2025,373.94
O0000281,C00099,1/30/2023,307.62
O0000282,C00099,5/7/2024,190.17
O0000283,C00099,8/8/2024,164.8
O0000284,C00099,10/1/2024,159.79
O0000285,C00099,1/16/2025,212.75
O0000286,C00099,12/28/2025,182.99
O0000287,C00100,1/16/2023,120.62
O0000288,C00100,12/10/2023,242.13
O0000289,C00100,11/12/2024,206.35
O0000290,C00100,3/26/2025,53.63
O0000291,C00101,4/10/2025,192.86
O0000292,C00102,11/30/2024,212.15
O0000293,C00103,10/3/2025,315.2
O0000294,C00104,4/14/2023,116.48
O0000295,C00105,6/27/2023,149.83
O0000296,C00105,9/23/2023,-284.55
O0000297,C00105,9/24/2025,-291.86
O0000298,C00105,10/6/2025,252.06
O0000299,C00105,12/6/2025,241.68
O0000300,C00106,5/17/2024,173.72
O0000301,C00106,11/22/2025,196.02
O0000302,C00107,2/24/2023,217.89
O0000303,C00107,1/2/2024,214.63
O0000304,C00107,7/27/2025,278.8
O0000305,C00107,11/17/2025,325.94
O0000306,C00108,11/12/2024,218.33
O0000307,C00109,4/4/2024,194.84
O0000308,C00109,11/5/2024,268.5
O0000309,C00109,1/4/2025,246.16
O0000310,C00110,11/26/2023,194.02
O0000311,C00110,11/30/2025,186.47
O0000312,C00111,10/3/2024,222.37
O0000313,C00112,10/6/2023,283.03
O0000314,C00112,1/24/2025,237.55
O0000315,C00113,1/11/2023,281.45
O0000316,C00113,9/2/2023,307.91
O0000317,C00113,1/10/2024,202.81
O0000318,C00113,5/23/2024,339.44
O0000319,C00113,8/6/2025,252.81
O0000320,C00114,12/12/2024,299.73
O0000321,C00115,1/24/2024,319.38
O0000322,C00115,5/25/2024,216.95
O0000323,C00115,4/27/2025,130.71
O0000324,C00116,6/14/2024,220.48
O0000325,C00117,11/22/2025,-109.85
O0000326,C00118,9/19/2023,180.73
O0000327,C00118,7/29/2024,237.16
O0000328,C00118,10/26/2024,202.19
O0000329,C00118,11/10/2024,192.99
O0000330,C00118,7/27/2025,330.95
O0000331,C00119,1/16/2023,184.69
O0000332,C00119,4/5/2023,233.35
O0000333,C00119,5/7/2023,196.37
O0000334,C00119,8/12/2023,270.93
O0000335,C00119,5/30/2025,231.8
O0000336,C00119,9/2/2025,143.4
O0000337,C00120,5/17/2023,158.4
O0000338,C00120,10/13/2023,203.32
O0000339,C00120,6/9/2024,158.68
O0000340,C00120,7/11/2024,133.02
O0000341,C00120,2/22/2025,211.82
O0000342,C00120,5/24/2025,157.73
O0000343,C00121,11/9/2025,145.01
O0000344,C00122,10/15/2025,398.01
O0000345,C00123,4/30/2023,255.36
O0000346,C00124,11/27/2023,194.85
O0000347,C00124,11/23/2025,211.13
O0000348,C00125,6/15/2024,96.62
O0000349,C00125,8/8/2024,187.65
O0000350,C00125,12/17/2024,260.67
O0000351,C00125,5/24/2025,128.56
O0000352,C00125,10/9/2025,302.31
O0000353,C00125,12/27/2025,367.46
O0000354,C00126,6/25/2024,160.92
O0000355,C00126,7/8/2024,212.45
O0000356,C00126,10/23/2024,251.7
O0000357,C00126,4/24/2025,68.74
O0000358,C00127,3/20/2024,252.05
O0000359,C00127,4/11/2024,253.37
O0000360,C00128,2/18/2024,174.4
O0000361,C00128,4/12/2024,242.06
O0000362,C00128,1/18/2025,243.94
O0000363,C00128,6/22/2025,287.13
O0000364,C00128,12/20/2025,360.47
O0000365,C00129,6/28/2024,185.75
O0000366,C00130,5/17/2023,204.79
O0000367,C00131,12/9/2023,151.07
O0000368,C00131,1/4/2024,261.27
O0000369,C00131,11/2/2024,277.25
O0000370,C00131,8/23/2025,300.01
O0000371,C00131,12/24/2025,219.5
O0000372,C00132,9/9/2023,212.65
O0000373,C00133,12/21/2023,319.44
O0000374,C00133,5/17/2024,267.75
O0000375,C00133,6/10/2024,320.88
O0000376,C00133,7/9/2025,278.85
O0000377,C00134,1/9/2025,-218.83
O0000378,C00135,4/8/2023,337.19
O0000379,C00135,8/7/2024,287.82
O0000380,C00136,7/4/2024,164.48
O0000381,C00137,7/29/2023,250.84
O0000382,C00137,9/21/2023,183.43
O0000383,C00137,1/22/2025,220
O0000384,C00137,1/25/2025,214.41
O0000385,C00137,6/8/2025,219.72
O0000386,C00138,4/25/2023,143.29
O0000387,C00138,2/19/2024,95.54
O0000388,C00138,5/23/2024,235.1
O0000389,C00138,7/8/2024,226.08
O0000390,C00139,5/27/2024,211.14
O0000391,C00139,8/6/2024,308.22
O0000392,C00140,10/4/2024,249.73
O0000393,C00140,11/23/2024,236.41
O0000394,C00140,12/13/2024,221.18
O0000395,C00140,5/31/2025,142.07
O0000396,C00140,12/30/2025,132.5
O0000397,C00141,10/22/2023,293.87
O0000398,C00141,10/14/2024,232.25
O0000399,C00141,9/15/2025,229.82
O0000400,C00141,10/2/2025,318.54
O0000401,C00142,3/26/2023,201.22
O0000402,C00142,5/9/2024,219.69
O0000403,C00143,5/8/2023,293.13
O0000404,C00144,3/31/2024,117.85
O0000405,C00144,10/21/2024,309.86
O0000406,C00144,12/18/2025,275.69
O0000407,C00145,3/5/2025,198.55
O0000408,C00146,8/5/2025,238.99
O0000409,C00147,7/11/2025,207.21
O0000410,C00148,8/25/2023,96.18
O0000411,C00148,9/6/2023,285.89
O0000412,C00148,4/17/2024,260.45
O0000413,C00148,7/21/2025,121.31
O0000414,C00148,8/24/2025,219.98
O0000415,C00149,12/1/2024,256.77
O0000416,C00149,3/22/2025,147.82
O0000417,C00150,9/11/2023,211.19
O0000418,C00150,12/24/2023,275.76
O0000419,C00150,10/18/2024,34.07
O0000420,C00150,10/31/2024,144.93
O0000421,C00151,5/24/2023,294.36
O0000422,C00151,6/16/2023,103.2
O0000423,C00151,12/11/2023,219.13
O0000424,C00151,2/4/2025,217.98
O0000425,C00151,2/7/2025,296.19
O0000426,C00151,12/27/2025,247.83
O0000427,C00152,2/1/2025,208.48
O0000428,C00152,4/1/2025,209.15
O0000429,C00153,11/2/2023,215.71
O0000430,C00154,4/25/2025,238.12
O0000431,C00155,8/2/2023,160.56
O0000432,C00155,3/27/2024,97.17
O0000433,C00155,8/5/2024,180.26
O0000434,C00155,6/20/2025,131.01
O0000435,C00156,6/2/2025,285.27
O0000436,C00156,10/13/2025,140.81
O0000437,C00157,1/16/2023,250.7
O0000438,C00157,4/20/2025,206.05
O0000439,C00158,3/24/2023,158.47
O0000440,C00158,6/27/2023,112.59
O0000441,C00158,7/23/2025,201.37
O0000442,C00159,3/25/2024,203.18
O0000443,C00159,3/5/2025,202.84
O0000444,C00159,5/30/2025,291.5
O0000445,C00159,10/29/2025,253.83
O0000446,C00160,8/13/2025,233.15
O0000447,C00161,6/18/2023,275.38
O0000448,C00162,9/19/2024,170.78
O0000449,C00163,12/19/2024,187.99
O0000450,C00163,8/31/2025,273.08
O0000451,C00164,2/2/2023,179.75
O0000452,C00164,4/25/2023,160.5
O0000453,C00164,3/19/2025,290.89
O0000454,C00164,4/23/2025,260.65
O0000455,C00164,11/24/2025,-229.52
O0000456,C00165,10/1/2023,222.27
O0000457,C00165,10/22/2023,335.44
O0000458,C00166,8/5/2024,203.91
O0000459,C00167,2/10/2023,297.15
O0000460,C00167,3/23/2023,81.51
O0000461,C00168,6/13/2023,322.17
O0000462,C00168,7/26/2024,180.86
O0000463,C00168,2/4/2025,265.58
O0000464,C00168,6/12/2025,178.64
O0000465,C00168,6/16/2025,357.07
O0000466,C00169,1/11/2023,281.74
O0000467,C00169,2/12/2023,215.59
O0000468,C00169,11/21/2024,240.42
O0000469,C00170,12/5/2025,129.65
O0000470,C00171,4/21/2023,261.13
O0000471,C00172,2/6/2023,219.13
O0000472,C00172,4/8/2023,151.43
O0000473,C00172,6/11/2023,228.7
O0000474,C00172,8/20/2023,188.91
O0000475,C00172,1/19/2025,208.99
O0000476,C00172,11/1/2025,217.26
O0000477,C00173,1/21/2023,222.03
O0000478,C00173,7/22/2023,279.37
O0000479,C00173,9/8/2023,166.57
O0000480,C00173,3/14/2024,140.53
O0000481,C00173,9/29/2024,80.31
O0000482,C00173,4/28/2025,330.87
O0000483,C00174,12/29/2023,248.77
O0000484,C00174,1/28/2024,261.54
O0000485,C00174,10/29/2024,263.14
O0000486,C00174,12/19/2025,224.35
O0000487,C00175,3/13/2023,259.87
O0000488,C00175,1/25/2025,117.93
O0000489,C00175,1/30/2025,232.06
O0000490,C00175,7/3/2025,228.03
O0000491,C00176,10/6/2023,243.63
O0000492,C00177,6/6/2023,216.97
O0000493,C00177,10/22/2023,332.4
O0000494,C00177,6/15/2025,269.86
O0000495,C00177,11/14/2025,181.27
O0000496,C00178,7/16/2024,216.18
O0000497,C00179,6/8/2023,222.98
O0000498,C00180,6/30/2024,237.75
O0000499,C00181,2/16/2023,199.63
O0000500,C00181,7/31/2023,291.53
O0000501,C00181,2/15/2024,133.85
O0000502,C00181,3/23/2024,316.65
O0000503,C00181,8/21/2024,254.85
O0000504,C00181,7/15/2025,162.18
O0000505,C00182,6/25/2024,233.53
O0000506,C00183,4/17/2023,363.3
O0000507,C00183,4/12/2024,188.17
O0000508,C00184,8/4/2023,154.99
O0000509,C00184,11/6/2023,226.56
O0000510,C00184,12/4/2023,294.73
O0000511,C00184,10/15/2025,219.1
O0000512,C00184,10/25/2025,293.83
O0000513,C00185,10/26/2023,307.58
O0000514,C00186,5/19/2023,208.5
O0000515,C00186,6/3/2023,-140.72
O0000516,C00186,7/25/2024,273.4
O0000517,C00186,3/14/2025,303.04
O0000518,C00186,11/16/2025,229.44
O0000519,C00187,3/23/2023,147.71
O0000520,C00187,10/19/2023,321.4
O0000521,C00187,11/29/2023,201.22
O0000522,C00187,1/31/2024,296.3
O0000523,C00187,2/2/2025,211.91
O0000524,C00188,9/26/2023,202.49
O0000525,C00188,1/2/2024,323.42
O0000526,C00188,6/29/2024,186.11
O0000527,C00188,2/28/2025,294.39
O0000528,C00188,7/17/2025,252.38
O0000529,C00188,11/19/2025,271.78
O0000530,C00189,1/14/2023,207.97
O0000531,C00189,4/13/2023,149.85
O0000532,C00189,12/21/2024,172.91
O0000533,C00189,3/12/2025,210.53
O0000534,C00189,12/7/2025,274.95
O0000535,C00190,5/7/2024,365.63
O0000536,C00190,6/13/2024,278.1
O0000537,C00190,10/27/2024,234.26
O0000538,C00190,8/22/2025,290.57
O0000539,C00190,10/11/2025,185.06
O0000540,C00190,11/23/2025,299.65
O0000541,C00191,8/12/2023,204.95
O0000542,C00192,11/30/2024,89.9
O0000543,C00193,11/5/2023,207.81
O0000544,C00193,4/10/2024,244.93
O0000545,C00193,9/20/2024,278.74
O0000546,C00193,12/20/2025,331.59
O0000547,C00194,8/21/2024,213.6
O0000548,C00194,3/6/2025,167.1
O0000549,C00194,12/20/2025,299.27
O0000550,C00195,7/7/2023,267.33
O0000551,C00195,3/13/2024,215.19
O0000552,C00195,11/18/2025,315.65
O0000553,C00196,6/20/2024,274.77
O0000554,C00196,4/20/2025,224.36
O0000555,C00196,8/17/2025,228.92
O0000556,C00197,7/11/2025,168.43
O0000557,C00198,7/14/2024,157.98
O0000558,C00199,8/31/2023,216.05
O0000559,C00200,5/3/2025,216.56
O0000560,C00201,5/23/2023,264.74
O0000561,C00201,4/26/2024,281.78
O0000562,C00201,12/20/2024,258.13
O0000563,C00202,3/21/2024,335.25
O0000564,C00203,8/6/2023,129.95
O0000565,C00204,6/3/2025,101.27
O0000566,C00205,4/18/2023,246.11
O0000567,C00205,5/1/2023,128.47
O0000568,C00206,9/28/2023,211.62
O0000569,C00207,1/28/2023,197.59
O0000570,C00207,2/12/2023,203.37
O0000571,C00207,4/14/2023,206.08
O0000572,C00207,6/1/2023,364.51
O0000573,C00207,11/21/2024,194.12
O0000574,C00207,12/2/2025,192.95
O0000575,C00208,4/12/2023,131.19
O0000576,C00208,7/21/2023,363.74
O0000577,C00208,10/26/2024,291.39
O0000578,C00208,1/29/2025,162.1
O0000579,C00208,8/3/2025,237.31
O0000580,C00209,1/25/2024,94.79
O0000581,C00210,10/3/2025,205.39
O0000582,C00211,5/20/2023,256.93
O0000583,C00211,4/18/2024,229.85
O0000584,C00211,7/3/2025,183.84
O0000585,C00212,4/11/2023,241.95
O0000586,C00212,8/25/2024,234.48
O0000587,C00212,2/28/2025,153.72
O0000588,C00213,4/18/2023,297.19
O0000589,C00214,7/3/2023,213.34
O0000590,C00214,1/4/2024,166.89
O0000591,C00214,2/7/2025,418.54
O0000592,C00214,3/11/2025,277.85
O0000593,C00214,4/4/2025,199.39
O0000594,C00214,11/1/2025,286.32
O0000595,C00215,10/27/2024,245.04
O0000596,C00216,6/4/2023,207.61
O0000597,C00216,3/16/2024,158.54
O0000598,C00216,9/3/2024,263.42
O0000599,C00216,4/26/2025,140.99
O0000600,C00217,10/15/2023,148.9
O0000601,C00218,6/14/2023,292.44
O0000602,C00218,9/30/2023,329.2
O0000603,C00218,12/3/2024,155.98
O0000604,C00218,4/13/2025,225.07
O0000605,C00218,7/8/2025,176.41
O0000606,C00218,9/15/2025,342.21
O0000607,C00219,2/14/2023,226.01
O0000608,C00219,3/6/2024,211.46
O0000609,C00219,7/25/2024,205.16
O0000610,C00219,8/6/2024,227.66
O0000611,C00219,9/22/2024,323.35
O0000612,C00220,8/17/2023,226.95
O0000613,C00220,3/20/2025,334.12
O0000614,C00220,7/6/2025,230.56
O0000615,C00220,11/25/2025,265.69
O0000616,C00221,11/3/2023,387.41
O0000617,C00221,10/22/2025,222.84
O0000618,C00222,5/26/2023,113.15
O0000619,C00222,6/2/2023,258.18
O0000620,C00222,2/28/2024,232.27
O0000621,C00222,6/8/2024,229.59
O0000622,C00222,6/6/2025,292.88
O0000623,C00222,12/27/2025,250.36
O0000624,C00223,2/21/2023,316.08
O0000625,C00224,3/16/2023,254.85
O0000626,C00224,8/7/2025,160.88
O0000627,C00224,8/26/2025,272.23
O0000628,C00225,11/23/2023,293.45
O0000629,C00226,2/16/2023,241.44
O0000630,C00226,7/24/2023,230.28
O0000631,C00226,5/11/2024,163.44
O0000632,C00226,5/22/2024,249.14
O0000633,C00226,7/27/2024,247.93
O0000634,C00226,12/31/2025,249.63
O0000635,C00227,12/16/2024,239.97
O0000636,C00228,5/6/2023,131.38
O0000637,C00229,7/20/2023,281.76
O0000638,C00230,6/27/2023,222.26
O0000639,C00231,1/9/2023,347
O0000640,C00231,11/7/2023,340.42
O0000641,C00231,1/4/2024,192.34
O0000642,C00231,2/2/2025,404.42
O0000643,C00231,4/24/2025,284.44
O0000644,C00232,4/7/2023,214.21
O0000645,C00233,2/6/2023,309.39
O0000646,C00233,1/23/2024,100.61
O0000647,C00233,5/17/2024,239.8
O0000648,C00233,11/20/2024,315.92
O0000649,C00234,6/16/2023,80.83
O0000650,C00234,2/15/2024,286.2
O0000651,C00234,5/19/2024,258.07
O0000652,C00234,6/13/2024,40.19
O0000653,C00235,11/1/2023,162.43
O0000654,C00235,1/16/2025,319.52
O0000655,C00236,3/26/2023,248.56
O0000656,C00236,3/13/2025,285.83
O0000657,C00236,4/19/2025,86.9
O0000658,C00236,6/18/2025,37.61
O0000659,C00236,10/24/2025,193.17
O0000660,C00237,3/25/2024,217.22
O0000661,C00238,6/26/2023,352.08
O0000662,C00238,5/1/2024,4.85
O0000663,C00238,7/24/2024,172.6
O0000664,C00239,9/18/2025,254.9
O0000665,C00240,6/12/2025,241.82
O0000666,C00241,8/28/2023,215.76
O0000667,C00241,8/31/2023,246.34
O0000668,C00241,5/17/2025,272.03
O0000669,C00242,1/13/2023,178.39
O0000670,C00242,7/27/2023,203.52
O0000671,C00242,10/7/2023,337.51
O0000672,C00242,11/7/2023,246.02
O0000673,C00242,5/14/2024,221.39
O0000674,C00242,7/19/2025,174.3
O0000675,C00243,10/11/2025,280.48
O0000676,C00244,1/2/2023,217.85
O0000677,C00244,5/22/2023,142.47
O0000678,C00244,7/12/2024,207.42
O0000679,C00244,10/8/2025,245.94
O0000680,C00245,9/24/2023,292.19
O0000681,C00246,1/10/2025,156.39
O0000682,C00246,9/11/2025,216.02
O0000683,C00247,12/20/2023,204.49
O0000684,C00247,3/19/2024,119.23
O0000685,C00247,5/29/2024,280.85
O0000686,C00247,11/28/2024,-351.56
O0000687,C00247,4/23/2025,291.86
O0000688,C00248,12/10/2025,203.16
O0000689,C00249,2/4/2023,213.73
O0000690,C00249,5/2/2024,195.74
O0000691,C00249,7/30/2024,195.72
O0000692,C00249,12/17/2024,233.07
O0000693,C00249,3/11/2025,264.98
O0000694,C00250,6/29/2024,250.3
O0000695,C00250,1/9/2025,210.21
O0000696,C00250,2/17/2025,89.68
O0000697,C00250,7/1/2025,318.64
