order_id;customer_id;order_date;order_value;
O00075;C0075;03/09/2023;125,1;
O00076;C0076;16/09/2023;148,4;
O00077;C0077;29/09/2023;171,9;
O00078;C0078;12/10/2023;-195,6;
O00079;C0079;25/10/2023;-39,5;
O00080;C0080;07/11/2023;-63,6;
O00081;C0081;20/11/2023;-84,2;
O00082;C0082;03/12/2023;-108,7;
O00083;C0083;16/12/2023;-129,7;
O00084;C0084;29/12/2023;-154,6;
O00085;C0085;11/01/2024;-176;
O00086;C0086;24/01/2024;-201,3;
O00087;C0087;06/02/2024;-43,1;
O00088;C0088;19/02/2024;-65,1;
O00089;C0089;03/03/2024;-87,3;
O00090;C0090;16/03/2024;-113,4;
O00091;C0091;29/03/2024;-136;
O00092;C0092;11/04/2024;-158,8;
O00093;C0093;24/04/2024;-181,8;
O00094;C0094;07/05/2024;-25;
O00095;C0095;20/05/2024;-48,4;
O00096;C0096;02/06/2024;-68,3;
O00097;C0097;15/06/2024;-92,1;
O00098;C0098;28/06/2024;-116,1;
O00099;C0099;11/07/2024;-140,3;
O00100;C0100;24/07/2024;-161;
O00101;C0101;06/08/2024;-185,6;
O00102;C0102;19/08/2024;-26,7;
O00103;C0103;01/09/2024;-51,7;
O00104;C0104;14/09/2024;-73,2;
O00105;C0105;27/09/2024;-98,6;
O00106;C0106;10/10/2024;-120,5;
O00107;C0107;23/10/2024;-142,6;
O00108;C0108;05/11/2024;-164,9;
O00109;C0109;18/11/2024;-187,4;
O00110;C0110;01/12/2024;-30,1;
O00111;C0111;14/12/2024;-53;
O00112;C0112;27/12/2024;-76,1;
O00113;C0113;10/01/2023;-99,4;
O00114;;23/01/2023;-122,9;
O00115;C0115;05/02/2023;-146,6;
O00116;C0116;18/02/2023;-170,5;
O00117;C0117;03/03/2023;-194,6;
O00118;C0118;16/03/2023;-35,2;
O00119;C0119;29/03/2023;-59,7;
O00120;C0120;11/04/2023;-80,7;
O00121;C0121;24/04/2023;-105,6;
O00122;C0122;07/05/2023;-127;
O00123;C0123;20/05/2023;-152,3;
O00124;C0124;02/06/2023;-174,1;
O00125;C0125;15/06/2023;-196,1;
O00126;C0126;28/06/2023;-38,3;
O00127;C0127;11/07/2023;-64,4;
O00128;C0128;24/07/2023;-87;
O00129;C0129;06/08/2023;-109,8;
O00130;C0130;19/08/2023;-132,8;
O00131;C0131;01/09/2023;-156;
O00132;C0132;14/09/2023;-179,4;
O00133;C0133;27/09/2023;-199,3;
O00134;C0134;10/10/2023;-43,1;
O00135;C0135;23/10/2023;-67,1;
O00136;C0136;05/11/2023;-91,3;
O00137;C0137;18/11/2023;-112;
O00138;C0138;01/12/2023;-136,6;
O00139;C0139;14/12/2023;-157,7;
O00140;C0140;27/12/2023;-182,7;
O00141;C0141;09/01/2024;-24,2;
O00142;C0142;22/01/2024;-49,6;
O00143;C0143;04/02/2024;-71,5;
O00144;C0144;17/02/2024;-93,6;
O00145;C0145;01/03/2024;-115,9;
O00146;C0146;14/03/2024;-138,4;
O00147;C0147;27/03/2024;-161,1;
O00148;C0148;09/04/2024;-184;
O00149;C0149;22/04/2024;-27,1;
O00150;C0150;05/05/2024;-50,4;
O00151;C0151;18/05/2024;-73,9;
O00152;C0152;31/05/2024;-97,6;
O00153;C0153;13/06/2024;-121,5;
O00154;C0154;26/06/2024;-145,6;
O00155;;09/07/2024;-166,2;
O00156;C0156;22/07/2024;-190,7;
O00157;C0157;04/08/2024;-31,7;
O00158;C0158;17/08/2024;-56,6;
O00159;C0159;30/08/2024;-78;
O00160;C0160;12/09/2024;-103,3;
O00161;C0161;25/09/2024;-125,1;
O00162;C0162;08/10/2024;-147,1;
O00163;C0163;21/10/2024;-169,3;
O00164;C0164;03/11/2024;-195,4;
O00165;C0165;16/11/2024;-38;
O00166;C0166;29/11/2024;-60,8;
O00167;C0167;12/12/2024;-83,8;
O00168;C0168;25/12/2024;-107;
O00169;C0169;08/01/2023;-130,4;
O00170;C0170;21/01/2023;-150,3;
O00171;C0171;03/02/2023;-174,1;
O00172;C0172;16/02/2023;-198,1;
O00173;C0173;01/03/2023;-42,3;
O00174;C0174;14/03/2023;-63;
O00175;C0175;27/03/2023;-87,6;
O00176;C0176;09/04/2023;-108,7;
O00177;C0177;22/04/2023;-133,7;
O00178;C0178;05/05/2023;-155,2;
O00179;C0179;18/05/2023;-180,6;
O00180;C0180;31/05/2023;-22,5;
O00181;C0181;13/06/2023;-44,6;
O00182;C0182;26/06/2023;-66,9;
O00183;C0183;09/07/2023;-89,4;
O00184;C0184;22/07/2023;-112,1;
O00185;C0185;04/08/2023;-135;
O00186;C0186;17/08/2023;-158,1;
O00187;C0187;30/08/2023;-181,4;
O00188;C0188;12/09/2023;-24,9;
O00189;C0189;25/09/2023;-48,6;
O00190;C0190;08/10/2023;-72,5;
O00191;C0191;21/10/2023;-96,6;
O00192;C0192;03/11/2023;-117,2;
O00193;C0193;16/11/2023;-141,7;
O00194;C0194;29/11/2023;-162,7;
O00195;C0195;15/01/2025;-187,6;
O00196;C0196;28/01/2025;-29;
O00197;C0197;10/02/2025;-54,3;
O00198;C0198;23/02/2025;-76,1;
O00199;C0199;08/03/2025;-98,1;
O00200;C0200;21/03/2025;-120,3;
O00201;C0201;03/04/2025;-146,4;
O00202;C0202;16/04/2025;-169;
O00203;C0203;29/04/2025;-191,8;
O00204;C0204;12/05/2025;-34,8;
O00205;C0205;25/05/2025;-58;
O00206;C0206;07/06/2025;-81,4;
O00207;;20/06/2025;-101,3;
O00208;C0208;03/07/2025;-125,1;
O00209;C0209;16/07/2025;-149,1;
O00210;C0210;29/07/2025;-173,3;
O00211;C0211;11/08/2025;-194;
O00212;C0212;24/08/2025;-38,6;
O00213;C0213;06/09/2025;-59,7;
O00214;C0214;19/09/2025;-84,7;
O00215;C0215;02/10/2025;-106,2;
O00216;C0216;15/10/2025;-131,6;
O00217;C0217;28/10/2025;-153,5;
O00218;C0218;10/11/2025;-175,6;
O00219;C0219;23/11/2025;-197,9;
O00220;C0220;06/12/2025;-40,4;
O00221;C0221;19/12/2025;-63,1;
O00222;C0222;01/01/2026;-86;
O00223;C0223;14/01/2026;-109,1;
O00224;C0224;27/01/2026;-132,4;
O00225;C0225;10/02/2024;-155,9;
O00226;C0226;23/02/2024;-179,6;
O00227;C0227;07/03/2024;-23,5;
O00228;C0228;20/03/2024;-47,6;
O00229;C0229;02/04/2024;-68,2;
O00230;C0230;15/04/2024;-92,7;
O00231;C0231;28/04/2024;-113,7;
O00232;C0232;11/05/2024;-138,6;
O00233;C0233;24/05/2024;-160;
O00234;C0234;06/06/2024;-185,3;
O00235;C0235;19/06/2024;-27,1;
O00236;C0236;02/07/2024;-49,1;
O00237;C0237;15/07/2024;-71,3;
O00238;C0238;28/07/2024;-97,4;
O00239;C0239;10/08/2024;-120;
O00240;C0240;23/08/2024;-142,8;
O00241;C0241;05/09/2024;-165,8;
O00242;C0242;18/09/2024;-189;
O00243;C0243;01/10/2024;-32,4;
O00244;C0244;14/10/2024;-52,3;
O00245;C0245;27/10/2024;-76,1;
O00246;C0246;09/11/2024;-100,1;
O00247;C0247;22/11/2024;-124,3;
O00248;C0248;05/12/2024;-145;
O00249;C0249;18/12/2024;-169,6;
O00250;C0250;31/12/2024;-190,7;
O00251;C0251;13/01/2025;-35,7;
O00252;C0252;26/01/2025;-57,2;
O00253;C0253;08/02/2025;-82,6;
O00254;C0254;21/02/2025;-104,5;
O00255;C0255;06/03/2025;-126,6;
O00256;C0256;19/03/2025;-148,9;
O00257;C0257;01/04/2025;-171,4;
O00258;C0258;14/04/2025;-194,1;
O00259;C0259;27/04/2025;-37;
O00260;C0260;10/05/2025;-60,1;
O00261;C0261;23/05/2025;-83,4;
O00262;C0262;05/06/2025;-106,9;
O00263;C0263;18/06/2025;-130,6;
O00264;C0264;01/07/2025;-154,5;
O00265;C0265;14/07/2025;-178,6;
O00266;C0266;27/07/2025;-199,2;
O00267;C0267;09/08/2025;-43,7;
O00268;C0268;22/08/2025;-64,7;
O00269;C0269;04/09/2025;-89,6;
O00270;C0270;17/09/2025;-111;
O00271;C0271;30/09/2025;-136,3;
O00272;C0272;13/10/2025;-158,1;
O00273;C0273;26/10/2025;-180,1;
O00274;C0274;08/11/2025;-22,3;
O00275;C0275;21/11/2025;-48,4;
O00276;C0276;04/12/2025;-71;
O00277;C0277;17/12/2025;-93,8;
O00278;C0278;30/12/2025;-116,8;
O00279;C0279;12/01/2026;-140;
O00280;C0280;25/01/2026;-163,4;
O00281;C0281;08/02/2024;-183,3;
O00282;;21/02/2024;-27,1;
O00283;C0283;05/03/2024;-51,1;
O00284;C0284;18/03/2024;-75,3;
O00285;C0285;31/03/2024;-96;
O00286;C0286;13/04/2024;-120,6;
O00287;C0287;26/04/2024;-141,7;
O00288;C0288;09/05/2024;-166,7;
O00289;C0289;22/05/2024;-188,2;
O00290;C0290;04/06/2024;-33,6;
O00291;C0291;17/06/2024;-55,5;
O00292;C0292;30/06/2024;-77,6;
O00293;C0293;13/07/2024;-99,9;
O00294;C0294;26/07/2024;-122,4;
O00295;C0295;08/08/2024;-145,1;
O00296;C0296;21/08/2024;-168;
O00297;C0297;03/09/2024;-191,1;
O00298;C0298;16/09/2024;-34,4;
O00299;C0299;29/09/2024;-57,9;
O00300;C0300;12/10/2024;-81,6;
O00301;C0301;25/10/2024;-105,5;
O00302;C0302;07/11/2024;-129,6;
O00303;C0303;20/11/2024;-150,2;
O00304;C0304;03/12/2024;-174,7;
O00305;C0305;16/12/2024;-195,7;
O00306;C0306;29/12/2024;-40,6;
O00307;C0307;11/01/2025;-62;
O00308;C0308;24/01/2025;-87,3;
O00309;C0309;06/02/2025;-109,1;
O00310;C0310;19/02/2025;-131,1;
O00311;C0311;04/03/2025;-153,3;
O00312;C0312;17/03/2025;-179,4;
O00313;C0313;30/03/2025;-202;
O00314;C0314;12/04/2025;-44,8;
O00315;C0315;25/04/2025;-67,8;
O00316;C0316;08/05/2025;-91;
O00317;C0317;21/05/2025;-114,4;
O00318;C0318;03/06/2025;-134,3;
O00319;C0319;16/06/2025;-158,1;
O00320;C0320;29/06/2025;-182,1;
O00321;C0321;12/07/2025;-26,3;
O00322;C0322;25/07/2025;-47;
O00323;C0323;07/08/2025;-71,6;
O00324;C0324;20/08/2025;-92,7;
O00325;C0325;02/09/2025;-117,7;
O00326;C0326;15/09/2025;-139,2;
O00327;C0327;28/09/2025;-164,6;
O00328;C0328;11/10/2025;-186,5;
O00329;C0329;24/10/2025;-28,6;
O00330;C0330;06/11/2025;-50,9;
O00331;C0331;19/11/2025;-73,4;
O00332;C0332;02/12/2025;-96,1;
O00333;C0333;15/12/2025;-119;
O00334;C0334;28/12/2025;-142,1;
O00335;C0335;10/01/2026;-165,4;
O00336;C0336;23/01/2026;-188,9;
O00337;C0337;06/02/2024;-32,6;
O00338;C0338;19/02/2024;-56,5;
O00339;C0339;03/03/2024;-80,6;
O00340;C0340;16/03/2024;-101,2;
O00341;C0341;29/03/2024;-125,7;
O00342;C0342;11/04/2024;-146,7;
O00343;C0343;24/04/2024;-171,6;
O00344;C0344;07/05/2024;-193;
O00345;C0345;20/05/2024;-38,3;
O00346;C0346;02/06/2024;-60,1;
O00347;C0347;15/06/2024;-82,1;
O00348;C0348;28/06/2024;-104,3;
O00349;C0349;11/07/2024;-130,4;
O00350;C0350;24/07/2024;-153;
O00351;C0351;06/08/2024;-175,8;
O00352;C0352;19/08/2024;-198,8;
O00353;C0353;01/09/2024;-42;
O00354;C0354;14/09/2024;-65,4;
O00355;C0355;27/09/2024;-85,3;
O00356;C0356;10/10/2024;-109,1;
O00357;C0357;23/10/2024;-133,1;
O00358;C0358;05/11/2024;-157,3;
O00359;C0359;18/11/2024;-178;
O00360;C0360;01/12/2024;-22,6;
O00361;C0361;14/12/2024;-43,7;
O00362;C0362;27/12/2024;-68,7;
O00363;C0363;09/01/2025;-90,2;
O00364;C0364;22/01/2025;-115,6;
O00365;C0365;04/02/2025;-137,5;
O00366;C0366;17/02/2025;-159,6;
O00367;C0367;02/03/2025;-181,9;
O00368;C0368;15/03/2025;-24,4;
O00369;C0369;28/03/2025;-47,1;
O00370;C0370;10/04/2025;-70;
O00371;C0371;23/04/2025;-93,1;
O00372;C0372;06/05/2025;-116,4;
O00373;C0373;19/05/2025;-139,9;
O00374;C0374;01/06/2025;-163,6;
O00375;C0375;14/06/2025;-187,5;
O00376;C0376;27/06/2025;-31,6;
O00377;C0377;10/07/2025;-52,2;
O00378;C0378;23/07/2025;-76,7;
O00379;C0379;05/08/2025;-97,7;
O00380;C0380;18/08/2025;-122,6;
O00381;C0381;31/08/2025;-144;
O00382;C0382;13/09/2025;-169,3;
O00383;C0383;26/09/2025;-191,1;
O00384;C0384;09/10/2025;-33,1;
O00385;C0385;22/10/2025;-55,3;
O00386;C0386;04/11/2025;-81,4;
O00387;C0387;17/11/2025;-104;
O00388;C0388;30/11/2025;-126,8;
O00389;C0389;13/12/2025;-149,8;
O00390;C0390;26/12/2025;-173;
O00391;C0391;08/01/2026;-196,4;
O00392;C0392;21/01/2026;-36,3;
O00393;C0393;03/02/2026;-60,1;
O00394;C0394;17/02/2024;-84,1;
O00395;C0395;01/03/2024;-108,3;
O00396;C0396;14/03/2024;-129;
O00397;C0397;27/03/2024;-153,6;
O00398;C0398;09/04/2024;-174,7;
O00399;C0399;22/04/2024;-199,7;
O00400;C0400;05/05/2024;-41,2;
O00401;C0401;18/05/2024;-66,6;
O00402;C0402;31/05/2024;-88,5;
O00403;C0403;13/06/2024;-110,6;
O00404;C0404;26/06/2024;-132,9;
O00405;C0405;09/07/2024;-155,4;
O00406;C0406;22/07/2024;-178,1;
O00407;C0407;04/08/2024;-21;
O00408;C0408;17/08/2024;-44,1;
O00409;C0409;30/08/2024;-67,4;
O00410;C0410;12/09/2024;-90,9;
O00411;C0411;25/09/2024;-114,6;
O00412;C0412;08/10/2024;-138,5;
O00413;C0413;21/10/2024;-162,6;
O00414;C0414;03/11/2024;-183,2;
O00415;C0415;16/11/2024;-27,7;
O00416;C0416;29/11/2024;-48,7;
O00417;C0417;12/12/2024;-73,6;
O00418;C0418;25/12/2024;-95;
O00419;C0419;07/01/2025;-120,3;
O00420;C0420;20/01/2025;-142,1;
O00421;C0421;02/02/2025;-164,1;
O00422;C0422;15/02/2025;-186,3;
O00423;C0423;28/02/2025;-32,4;
O00424;C0424;13/03/2025;-55;
O00425;C0425;26/03/2025;-77,8;
O00426;C0426;08/04/2025;-100,8;
O00427;C0427;21/04/2025;-124;
O00428;C0428;04/05/2025;-147,4;
O00429;C0429;17/05/2025;-167,3;
O00430;C0430;30/05/2025;-191,1;
O00431;C0431;12/06/2025;-35,1;
O00432;C0432;25/06/2025;-59,3;
O00433;C0433;08/07/2025;-80;
O00434;C0434;21/07/2025;-104,6;
O00435;C0435;03/08/2025;-125,7;
O00436;C0436;16/08/2025;-150,7;
O00437;C0437;29/08/2025;-172,2;
O00438;C0438;11/09/2025;-197,6;
O00439;C0439;24/09/2025;-39,5;
O00440;C0440;07/10/2025;-61,6;
O00441;C0441;20/10/2025;-83,9;
O00442;C0442;02/11/2025;-106,4;
O00443;C0443;15/11/2025;-129,1;
O00444;C0444;28/11/2025;-152;
O00445;C0445;11/12/2025;-175,1;
O00446;C0446;24/12/2025;-198,4;
O00447;C0447;06/01/2026;-41,9;
O00448;C0448;19/01/2026;-65,6;
O00449;C0449;01/02/2026;-89,5;
O00450;C0450;15/02/2024;-113,6;
O00451;C0451;28/02/2024;-134,2;
O00452;C0452;12/03/2024;-158,7;
O00453;C0453;25/03/2024;-179,7;
O00454;C0454;07/04/2024;-24,6;
O00455;C0455;20/04/2024;-46;
O00456;C0456;03/05/2024;-71,3;
O00457;C0457;16/05/2024;-93,1;
O00458;C0458;29/05/2024;-115,1;
O00459;C0459;11/06/2024;-137,3;
O00460;C0460;24/06/2024;-163,4;
O00461;C0461;07/07/2024;-186;
O00462;C0462;20/07/2024;-28,8;
O00463;C0463;02/08/2024;-51,8;
O00464;C0464;15/08/2024;-75;
O00465;C0465;28/08/2024;-98,4;
O00466;C0466;10/09/2024;-118,3;
O00467;C0467;23/09/2024;-142,1;
O00468;C0468;06/10/2024;-166,1;
O00469;C0469;19/10/2024;-190,3;
O00470;C0470;01/11/2024;-31;
O00471;C0471;14/11/2024;-55,6;
O00472;C0472;27/11/2024;-76,7;
O00473;C0473;10/12/2024;-101,7;
O00474;C0474;23/12/2024;-123,2;
O00475;C0475;05/01/2025;-148,6;
O00476;C0476;18/01/2025;-170,5;
O00477;C0477;31/01/2025;-192,6;
O00478;C0478;13/02/2025;-34,9;
O00479;C0479;26/02/2025;-57,4;
O00480;C0480;11/03/2025;-80,1;
O00481;C0481;24/03/2025;-103;
O00482;C0482;06/04/2025;-126,1;
O00483;C0483;19/04/2025;-149,4;
O00484;C0484;02/05/2025;-172,9;
O00485;C0485;15/05/2025;-196,6;
O00486;C0486;28/05/2025;-40,5;
O00487;C0487;10/06/2025;-64,6;
O00488;C0488;23/06/2025;-85,2;
O00489;C0489;06/07/2025;-109,7;
O00490;C0490;19/07/2025;-130,7;
O00491;C0491;01/08/2025;-155,6;
O00492;C0492;14/08/2025;-177;
O00493;C0493;27/08/2025;-202,3;
O00494;C0494;09/09/2025;-44,1;
O00495;C0495;22/09/2025;-66,1;
O00496;C0496;05/10/2025;-88,3;
O00497;C0497;18/10/2025;-114,4;
O00498;C0498;31/10/2025;-137;
O00499;C0499;13/11/2025;-159,8;
O00500;C0500;26/11/2025;-182,8;
O00501;C0501;09/12/2025;-26;
O00502;C0502;22/12/2025;-49,4;
O00503;C0503;04/01/2026;-69,3;
O00504;C0504;17/01/2026;-93,1;
O00505;C0505;30/01/2026;-117,1;
O00506;C0506;13/02/2024;-141,3;
O00507;C0507;26/02/2024;-162;
O00508;C0508;10/03/2024;-186,6;
O00509;C0509;23/03/2024;-27,7;
O00510;C0510;05/04/2024;-52,7;
O00511;C0511;18/04/2024;-74,2;
O00512;C0512;01/05/2024;-99,6;
O00513;C0513;14/05/2024;-121,5;
O00514;C0514;27/05/2024;-143,6;
O00515;C0515;09/06/2024;-165,9;
O00516;C0516;22/06/2024;-188,4;
O00517;C0517;05/07/2024;-31,1;
O00518;C0518;18/07/2024;-54;
O00519;C0519;31/07/2024;-77,1;
O00520;C0520;13/08/2024;-100,4;
O00521;C0521;26/08/2024;-123,9;
O00522;C0522;08/09/2024;-147,6;
O00523;C0523;21/09/2024;-171,5;
O00524;C0524;04/10/2024;-195,6;
O00525;C0525;17/10/2024;-36,2;
O00526;C0526;30/10/2024;-60,7;
O00527;C0527;12/11/2024;-81,7;
O00528;C0528;25/11/2024;-106,6;
O00529;C0529;08/12/2024;-128;
O00530;C0530;21/12/2024;-153,3;
O00531;C0531;03/01/2025;-175,1;
O00532;C0532;16/01/2025;-197,1;
O00533;C0533;29/01/2025;-39,3;
O00534;C0534;11/02/2025;-65,4;
O00535;C0535;24/02/2025;-88;
O00536;C0536;09/03/2025;-110,8;
O00537;C0537;22/03/2025;-133,8;
O00538;C0538;04/04/2025;-157;
O00539;C0539;17/04/2025;-180,4;
O00540;C0540;30/04/2025;-20,3;
O00541;C0541;13/05/2025;-44,1;
O00542;C0542;26/05/2025;-68,1;
O00543;C0543;08/06/2025;-92,3;
O00544;C0544;21/06/2025;-113;
O00545;C0545;04/07/2025;-137,6;
O00546;C0546;17/07/2025;-158,7;
O00547;C0547;30/07/2025;-183,7;
O00548;C0548;12/08/2025;-25,2;
O00549;C0549;25/08/2025;-50,6;
O00550;C0550;07/09/2025;-72,5;
O00551;C0551;20/09/2025;-94,6;
O00552;C0552;03/10/2025;-116,9;
O00553;C0553;16/10/2025;-139,4;
O00554;C0554;29/10/2025;-162,1;
O00555;C0555;11/11/2025;-185;
O00556;C0556;24/11/2025;-28,1;
O00557;C0557;07/12/2025;-51,4;
O00558;C0558;20/12/2025;-74,9;
O00559;C0559;02/01/2026;-98,6;
O00560;C0560;15/01/2026;-122,5;
O00561;C0561;28/01/2026;-146,6;
O00562;C0562;11/02/2024;-167,2;
O00563;C0563;24/02/2024;-191,7;
O00564;C0564;08/03/2024;-32,7;
O00565;C0565;21/03/2024;-57,6;
O00566;C0566;03/04/2024;-79;
O00567;C0567;16/04/2024;-104,3;
O00568;C0568;29/04/2024;-126,1;
O00569;C0569;12/05/2024;-148,1;
O00570;C0570;25/05/2024;-170,3;
O00571;C0571;07/06/2024;-196,4;
O00572;C0572;20/06/2024;-39;
O00573;C0573;03/07/2024;-61,8;
O00574;C0574;16/07/2024;-84,8;
O00575;C0575;29/07/2024;-108;
O00576;C0576;11/08/2024;-131,4;
O00577;C0577;24/08/2024;-151,3;
O00578;C0578;06/09/2024;-175,1;
O00579;C0579;19/09/2024;-199,1;
O00580;C0580;02/10/2024;-43,3;
O00581;C0581;15/10/2024;-64;
O00582;C0582;28/10/2024;-88,6;
O00583;C0583;10/11/2024;-109,7;
O00584;C0584;23/11/2024;-134,7;
O00585;C0585;06/12/2024;-156,2;
O00586;C0586;19/12/2024;-181,6;
O00587;C0587;01/01/2025;-23,5;
O00588;C0588;14/01/2025;-45,6;
O00589;C0589;27/01/2025;-67,9;
O00590;C0590;09/02/2025;-90,4;
O00591;C0591;22/02/2025;-113,1;
O00592;C0592;07/03/2025;-136;
O00593;C0593;20/03/2025;-159,1;
O00594;C0594;02/04/2025;-182,4;
O00595;C0595;15/04/2025;-25,9;
O00596;C0596;28/04/2025;-49,6;
O00597;C0597;11/05/2025;-73,5;
O00598;C0598;24/05/2025;-97,6;
O00599;C0599;06/06/2025;-118,2;
O00600;C0600;19/06/2025;-142,7;
O00601;C0601;02/07/2025;-163,7;
O00602;C0602;15/07/2025;-188,6;
O00603;C0603;28/07/2025;-30;
O00604;C0604;10/08/2025;-55,3;
O00605;C0605;23/08/2025;-77,1;
O00606;C0606;05/09/2025;-99,1;
O00607;C0607;18/09/2025;-121,3;
O00608;C0608;01/10/2025;-147,4;
O00609;C0609;14/10/2025;-170;
O00610;C0610;27/10/2025;-192,8;
O00611;C0611;09/11/2025;-35,8;
O00612;C0612;22/11/2025;-59;
O00613;C0613;05/12/2025;-82,4;
O00614;C0614;18/12/2025;-102,3;
O00615;C0615;31/12/2025;-126,1;
O00616;C0616;13/01/2026;-150,1;
O00617;C0617;26/01/2026;-174,3;
O00618;C0618;09/02/2024;-195;
O00619;C0619;22/02/2024;-39,6;
O00620;C0620;06/03/2024;-60,7;
O00621;C0621;19/03/2024;-85,7;
O00622;C0622;01/04/2024;-107,2;
O00623;C0623;14/04/2024;-132,6;
O00624;C0624;27/04/2024;-154,5;
O00625;C0625;10/05/2024;-176,6;
O00626;C0626;23/05/2024;-198,9;
O00627;C0627;05/06/2024;-41,4;
O00628;C0628;18/06/2024;-64,1;
O00629;C0629;01/07/2024;-87;
O00630;C0630;14/07/2024;-110,1;
O00631;C0631;27/07/2024;-133,4;
O00632;C0632;09/08/2024;-156,9;
O00633;C0633;22/08/2024;-180,6;
O00634;C0634;04/09/2024;-24,5;
O00635;;17/09/2024;-48,6;
O00636;C0636;30/09/2024;-69,2;
O00637;C0637;13/10/2024;-93,7;
O00638;C0638;26/10/2024;-114,7;
O00639;C0639;08/11/2024;-139,6;
O00640;C0640;21/11/2024;-161;
O00641;C0641;04/12/2024;-186,3;
O00642;C0642;17/12/2024;-28,1;
O00643;C0643;30/12/2024;-50,1;
O00644;C0644;12/01/2025;-72,3;
O00645;C0645;25/01/2025;-98,4;
O00646;C0646;07/02/2025;-121;
O00647;C0647;20/02/2025;-143,8;
O00648;C0648;05/03/2025;-166,8;
O00649;C0649;18/03/2025;-190;
O00650;C0650;31/03/2025;-33,4;
O00651;C0651;13/04/2025;-53,3;
O00652;C0652;26/04/2025;-77,1;
O00653;C0653;09/05/2025;-101,1;
O00654;C0654;22/05/2025;-125,3;
O00655;C0655;04/06/2025;-146;
O00656;C0656;17/06/2025;-170,6;
O00657;C0657;30/06/2025;-191,7;
O00658;C0658;13/07/2025;-36,7;
O00659;C0659;26/07/2025;-58,2;
O00660;C0660;08/08/2025;-83,6;
O00661;C0661;21/08/2025;-105,5;
O00662;C0662;03/09/2025;-127,6;
O00663;C0663;16/09/2025;-149,9;
O00664;C0664;29/09/2025;-172,4;
O00665;C0665;12/10/2025;-195,1;
O00666;C0666;25/10/2025;-38;
O00667;C0667;07/11/2025;-61,1;
O00668;C0668;20/11/2025;-84,4;
O00669;C0669;03/12/2025;-107,9;
O00670;C0670;16/12/2025;-131,6;
O00671;C0671;29/12/2025;-155,5;
O00672;C0672;11/01/2026;-179,6;
O00673;;24/01/2026;-200,2;
O00674;C0674;07/02/2024;-44,7;
O00675;C0675;20/02/2024;-65,7;
O00676;C0676;04/03/2024;-90,6;
O00677;C0677;17/03/2024;-112;
O00678;C0678;30/03/2024;-137,3;
