order_id,customer_id,order_date,net_revenue,margin_pct,location,channel,order_hour,order_day_of_week_monday_first,order_day_name
O0000050,C01671,2023-01-02,75.04,0.322,Hcmc,social,15,1,Monday
O0000051,C01641,2023-01-02,225.7,0.37,Hcmc,social,14,1,Monday
O0000052,C04285,2023-01-02,299.21,0.37,Hanoi,email,14,1,Monday
O0000053,C00220,2023-01-02,172.75,0.383,Hcmc,paid_search,19,1,Monday
O0000054,C00719,2023-01-02,157.06,0.319,Hcmc,paid_search,14,1,Monday
O0000055,C01747,2023-01-02,204.29,0.25,Taipei,social,13,1,Monday
O0000056,C00229,2023-01-02,226.17,0.25,Hcmc,paid_search,20,1,Monday
O0000057,C03790,2023-01-02,134.43,0.412,Hcmc,email,20,1,Monday
O0000058,C02989,2023-01-02,167.76,0.4,Hcmc,organic,22,1,Monday
O0000059,C02641,2023-01-02,137.29,0.45,Hcmc,organic,15,1,Monday
O0000060,C00184,2023-01-02,180.12,0.351,Hcmc,paid_search,20,1,Monday
O0000061,C01485,2023-01-02,166.42,0.38,Hcmc,social,20,1,Monday
O0000062,C02856,2023-01-02,232.51,0.389,Hcmc,organic,20,1,Monday
O0000063,C04093,2023-01-02,236.9,0.337,Hcmc,email,14,1,Monday
O0000064,C02575,2023-01-02,174.43,0.446,Hcmc,organic,23,1,Monday
O0000065,C04270,2023-01-02,166.56,0.397,Hcmc,email,20,1,Monday
O0000066,C02018,2023-01-02,235.67,0.375,Hcmc,social,21,1,Monday
O0000067,C00150,2023-01-02,136.65,0.37,Hcmc,paid_search,19,1,Monday
O0000068,C03468,2023-01-02,210.9,0.353,Hcmc,organic,15,1,Monday
O0000069,C04827,2023-01-02,243.92,0.25,Hcmc,referral,13,1,Monday
O0000070,C01541,2023-01-02,148.0,0.415,Hanoi,social,14,1,Monday
O0000071,C04285,2023-01-03,170.71,0.369,Hanoi,email,21,2,Tuesday
O0000072,C00997,2023-01-03,187.83,0.28,Hcmc,paid_search,21,2,Tuesday
O0000073,C00681,2023-01-03,203.97,0.442,Hcmc,paid_search,13,2,Tuesday
O0000074,C04213,2023-01-03,232.12,0.419,Hcmc,email,22,2,Tuesday
O0000075,C01827,2023-01-03,135.52,0.331,Hcmc,social,21,2,Tuesday
O0000076,C00705,2023-01-03,281.4,0.315,Hcmc,paid_search,20,2,Tuesday
O0000077,C04596,2023-01-03,194.9,0.328,Taipei,referral,21,2,Tuesday
O0000078,C04797,2023-01-03,164.84,0.374,Taipei,referral,15,2,Tuesday
O0000079,C04553,2023-01-03,143.73,0.25,Hcmc,referral,13,2,Tuesday
O0000080,C04761,2023-01-03,169.77,0.45,Taipei,referral,21,2,Tuesday
O0000081,C04767,2023-01-03,255.58,0.323,Danang,referral,21,2,Tuesday
O0000082,C01545,2023-01-03,130.24,0.329,Danang,social,14,2,Tuesday
O0000083,C01728,2023-01-03,256.06,0.29,Hcmc,social,23,2,Tuesday
O0000084,C00705,2023-01-03,137.78,0.423,Hcmc,paid_search,22,2,Tuesday
O0000085,C01094,2023-01-03,143.86,0.45,Hcmc,paid_search,23,2,Tuesday
O0000086,C04888,2023-01-03,163.67,0.324,Hcmc,referral,13,2,Tuesday
O0000087,C01918,2023-01-03,129.12,0.395,Hcmc,social,14,2,Tuesday
O0000088,C01381,2023-01-03,125.89,0.331,Hcmc,social,22,2,Tuesday
O0000089,C04196,2023-01-03,194.55,0.25,Hanoi,email,22,2,Tuesday
O0000090,C04492,2023-01-03,147.74,0.319,Taipei,referral,20,2,Tuesday
O0000091,C04751,2023-01-03,139.08,0.401,Danang,referral,20,2,Tuesday
O0000092,C04906,2023-01-03,151.79,0.326,Hcmc,referral,20,2,Tuesday
O0000093,C03687,2023-01-03,107.51,0.25,Hanoi,email,20,2,Tuesday
O0000094,C01795,2023-01-03,175.83,0.415,Taipei,social,22,2,Tuesday
O0000095,C01511,2023-01-03,171.47,0.29,Danang,social,22,2,Tuesday
O0000096,C01209,2023-01-03,136.08,0.346,Danang,paid_search,13,2,Tuesday
O0000097,C01276,2023-01-03,159.46,0.315,Hcmc,social,21,2,Tuesday
O0000098,C04638,2023-01-03,132.9,0.363,Hcmc,referral,14,2,Tuesday
O0000099,C01957,2023-01-03,98.88,0.45,Hanoi,social,20,2,Tuesday
O0000100,C01058,2023-01-03,313.5,0.401,Hcmc,paid_search,13,2,Tuesday
O0000101,C03389,2023-01-03,280.84,0.351,Hanoi,organic,21,2,Tuesday
O0000102,C02911,2023-01-03,166.99,0.432,Danang,organic,22,2,Tuesday
O0000103,C02735,2023-01-03,120.55,0.352,Danang,organic,20,2,Tuesday
O0000104,C01462,2023-01-03,141.76,0.351,Hcmc,social,21,2,Tuesday
O0000105,C02783,2023-01-03,177.43,0.367,Hanoi,organic,21,2,Tuesday
O0000106,C00442,2023-01-04,146.24,0.286,Danang,paid_search,15,3,Wednesday
O0000107,C01069,2023-01-04,194.65,0.25,Danang,paid_search,22,3,Wednesday
O0000108,C00565,2023-01-04,156.25,0.387,Hcmc,paid_search,14,3,Wednesday
O0000109,C03995,2023-01-04,169.11,0.297,Hanoi,email,20,3,Wednesday
O0000110,C03017,2023-01-04,159.82,0.363,Hcmc,organic,21,3,Wednesday
O0000111,C02934,2023-01-04,131.64,0.322,Hcmc,organic,22,3,Wednesday
O0000112,C01797,2023-01-04,131.66,0.388,Hcmc,social,21,3,Wednesday
O0000113,C00280,2023-01-04,147.89,0.438,Hanoi,paid_search,21,3,Wednesday
O0000114,C02220,2023-01-04,156.89,0.277,Hcmc,social,20,3,Wednesday
O0000115,C02450,2023-01-04,159.37,0.45,Hanoi,social,20,3,Wednesday
O0000116,C02565,2023-01-04,257.26,0.45,Hcmc,organic,20,3,Wednesday
O0000117,C01327,2023-01-04,170.2,0.45,Hcmc,social,21,3,Wednesday
O0000118,C01633,2023-01-04,186.09,0.372,Taipei,social,14,3,Wednesday
O0000119,C00222,2023-01-04,141.54,0.411,Hanoi,paid_search,18,3,Wednesday
O0000120,C00051,2023-01-04,155.75,0.257,Hanoi,paid_search,14,3,Wednesday
O0000121,C02446,2023-01-04,258.65,0.313,Hcmc,social,21,3,Wednesday
O0000122,C00410,2023-01-04,144.77,0.421,Hcmc,paid_search,21,3,Wednesday
O0000123,C02768,2023-01-04,191.64,0.346,Hcmc,organic,21,3,Wednesday
O0000124,C03754,2023-01-04,145.35,0.36,Taipei,email,22,3,Wednesday
O0000125,C01489,2023-01-04,133.39,0.392,Hcmc,social,22,3,Wednesday
O0000126,C00337,2023-01-04,154.77,0.26,Hanoi,paid_search,22,3,Wednesday
O0000127,C00579,2023-01-04,129.0,0.37,Hcmc,paid_search,15,3,Wednesday
O0000128,C02143,2023-01-04,102.13,0.354,Danang,social,20,3,Wednesday
O0000129,C02943,2023-01-04,229.06,0.29,Hcmc,organic,15,3,Wednesday
O0000130,C00098,2023-01-04,261.12,0.395,Hanoi,paid_search,21,3,Wednesday
O0000131,C00156,2023-01-04,342.01,0.273,Hcmc,paid_search,14,3,Wednesday
O0000132,C02393,2023-01-04,169.3,0.385,Hcmc,social,22,3,Wednesday
O0000133,C02009,2023-01-04,219.12,0.313,Hcmc,social,20,3,Wednesday
O0000134,C04158,2023-01-04,139.01,0.352,Hcmc,email,14,3,Wednesday
O0000135,C00047,2023-01-04,275.61,0.422,Hcmc,paid_search,20,3,Wednesday
O0000136,C03808,2023-01-04,193.67,0.339,Hcmc,email,13,3,Wednesday
O0000137,C01104,2023-01-04,206.84,0.25,Hcmc,paid_search,20,3,Wednesday
O0000138,C02483,2023-01-04,200.98,0.337,Hcmc,social,15,3,Wednesday
O0000139,C02866,2023-01-04,198.12,0.335,Hcmc,organic,13,3,Wednesday
O0000140,C01517,2023-01-04,202.69,0.352,Hcmc,social,21,3,Wednesday
O0000141,C00271,2023-01-04,135.18,0.284,Hcmc,paid_search,14,3,Wednesday
O0000142,C01418,2023-01-04,128.85,0.45,Hcmc,social,20,3,Wednesday
O0000143,C01063,2023-01-04,133.92,0.382,Hcmc,paid_search,16,3,Wednesday
O0000144,C00842,2023-01-04,216.29,0.301,Hcmc,paid_search,14,3,Wednesday
O0000145,C03333,2023-01-04,302.36,0.281,Hcmc,organic,22,3,Wednesday
O0000146,C04353,2023-01-04,370.94,0.253,Hanoi,referral,20,3,Wednesday
O0000147,C01982,2023-01-04,204.0,0.397,Hcmc,social,13,3,Wednesday
O0000148,C02345,2023-01-04,150.67,0.316,Hanoi,social,20,3,Wednesday
O0000149,C04657,2023-01-04,142.28,0.318,Hanoi,referral,21,3,Wednesday
O0000150,C00592,2023-01-04,161.55,0.395,Hcmc,paid_search,23,3,Wednesday
O0000151,C00564,2023-01-04,168.94,0.309,Taipei,paid_search,13,3,Wednesday
O0000152,C01603,2023-01-05,219.98,0.327,Hcmc,social,21,4,Thursday
O0000153,C01550,2023-01-05,145.45,0.376,Hcmc,social,15,4,Thursday
O0000154,C02327,2023-01-05,153.94,0.344,Hanoi,social,14,4,Thursday
O0000155,C02523,2023-01-05,118.87,0.313,Hanoi,social,16,4,Thursday
O0000156,C04203,2023-01-05,120.01,0.25,Taipei,email,15,4,Thursday
O0000157,C00595,2023-01-05,205.0,0.25,Hanoi,paid_search,15,4,Thursday
O0000158,C03439,2023-01-05,162.4,0.338,Taipei,organic,20,4,Thursday
O0000159,C00328,2023-01-05,227.87,0.295,Hcmc,paid_search,13,4,Thursday
O0000160,C02103,2023-01-05,108.34,0.26,Taipei,social,21,4,Thursday
O0000161,C02252,2023-01-05,160.9,0.347,Hcmc,social,21,4,Thursday
O0000162,C04455,2023-01-05,173.92,0.293,Hanoi,referral,14,4,Thursday
O0000163,C00474,2023-01-05,226.53,0.301,Hcmc,paid_search,20,4,Thursday
O0000164,C03292,2023-01-05,138.11,0.45,Taipei,organic,22,4,Thursday
O0000165,C03637,2023-01-05,233.9,0.362,Taipei,email,22,4,Thursday
O0000166,C02660,2023-01-05,192.31,0.374,Hcmc,organic,20,4,Thursday
O0000167,C03329,2023-01-05,157.32,0.371,Taipei,organic,21,4,Thursday
O0000168,C00163,2023-01-05,131.46,0.25,Taipei,paid_search,21,4,Thursday
O0000169,C00226,2023-01-05,199.15,0.25,Hanoi,paid_search,20,4,Thursday
O0000170,C04203,2023-01-05,142.24,0.288,Taipei,email,16,4,Thursday
O0000171,C04671,2023-01-05,104.89,0.345,Hanoi,referral,20,4,Thursday
O0000172,C00519,2023-01-05,288.09,0.331,Hcmc,paid_search,14,4,Thursday
O0000173,C02359,2023-01-05,289.56,0.294,Hcmc,social,21,4,Thursday
O0000174,C01870,2023-01-05,185.52,0.45,Hcmc,social,22,4,Thursday
O0000175,C03862,2023-01-05,203.3,0.31,Taipei,email,20,4,Thursday
O0000176,C01961,2023-01-05,167.45,0.377,Hcmc,social,15,4,Thursday
O0000177,C01414,2023-01-05,239.02,0.266,Hcmc,social,21,4,Thursday
O0000178,C01746,2023-01-05,122.55,0.45,Hcmc,social,20,4,Thursday
O0000179,C02183,2023-01-05,94.86,0.45,Danang,social,15,4,Thursday
O0000180,C04365,2023-01-05,204.29,0.45,Hcmc,referral,22,4,Thursday
O0000181,C02250,2023-01-05,182.11,0.257,Hanoi,social,15,4,Thursday
O0000182,C04090,2023-01-05,148.19,0.365,Hanoi,email,15,4,Thursday
O0000183,C04826,2023-01-06,230.7,0.382,Hcmc,referral,14,5,Friday
O0000184,C03911,2023-01-06,212.09,0.364,Hcmc,email,21,5,Friday
O0000185,C02745,2023-01-06,284.05,0.347,Hcmc,organic,20,5,Friday
O0000186,C00115,2023-01-06,202.41,0.292,Hcmc,paid_search,15,5,Friday
O0000187,C02694,2023-01-06,163.72,0.289,Taipei,organic,13,5,Friday
O0000188,C04120,2023-01-06,231.57,0.25,Hcmc,email,20,5,Friday
O0000189,C02486,2023-01-06,212.97,0.332,Hcmc,social,13,5,Friday
O0000190,C04770,2023-01-06,117.6,0.316,Taipei,referral,21,5,Friday
O0000191,C00391,2023-01-06,222.79,0.377,Hcmc,paid_search,20,5,Friday
O0000192,C01416,2023-01-06,127.76,0.369,Danang,social,16,5,Friday
O0000193,C00211,2023-01-06,207.02,0.401,Hcmc,paid_search,20,5,Friday
O0000194,C00851,2023-01-06,137.56,0.377,Hcmc,paid_search,21,5,Friday
O0000195,C02788,2023-01-06,170.01,0.423,Hcmc,organic,20,5,Friday
O0000196,C02014,2023-01-06,91.8,0.45,Danang,social,22,5,Friday
O0000197,C02126,2023-01-06,198.3,0.415,Hanoi,social,20,5,Friday
O0000198,C01217,2023-01-06,213.62,0.383,Hcmc,paid_search,13,5,Friday
O0000199,C02661,2023-01-06,225.84,0.317,Taipei,organic,21,5,Friday
O0000200,C00446,2023-01-06,181.81,0.251,Hcmc,paid_search,22,5,Friday
O0000201,C00097,2023-01-06,200.99,0.364,Hanoi,paid_search,14,5,Friday
O0000202,C02567,2023-01-06,136.57,0.45,Danang,organic,21,5,Friday
O0000203,C00692,2023-01-06,144.6,0.403,Danang,paid_search,20,5,Friday
O0000204,C00905,2023-01-06,137.39,0.436,Hanoi,paid_search,13,5,Friday
O0000205,C04470,2023-01-06,139.87,0.406,Hanoi,referral,20,5,Friday
O0000206,C04135,2023-01-06,122.51,0.294,Hcmc,email,21,5,Friday
O0000207,C03536,2023-01-06,180.79,0.33,Hcmc,email,22,5,Friday
O0000208,C03583,2023-01-06,329.63,0.359,Hcmc,email,20,5,Friday
O0000209,C04137,2023-01-06,247.82,0.375,Hcmc,email,21,5,Friday
O0000210,C03083,2023-01-06,239.06,0.409,Hcmc,organic,20,5,Friday
O0000211,C03562,2023-01-06,151.01,0.261,Hcmc,email,15,5,Friday
O0000212,C04119,2023-01-06,122.11,0.425,Hcmc,email,14,5,Friday
O0000213,C04390,2023-01-06,166.35,0.318,Hanoi,referral,13,5,Friday
O0000214,C00677,2023-01-06,189.35,0.25,Hcmc,paid_search,20,5,Friday
O0000215,C02067,2023-01-06,198.14,0.421,Hcmc,social,22,5,Friday
O0000216,C01983,2023-01-06,135.06,0.323,Hcmc,social,14,5,Friday
O0000217,C02419,2023-01-07,222.13,0.348,Hcmc,social,14,6,Saturday
O0000218,C00927,2023-01-07,282.1,0.272,Taipei,paid_search,21,6,Saturday
O0000219,C02777,2023-01-07,221.2,0.31,Taipei,organic,22,6,Saturday
O0000220,C03807,2023-01-07,242.88,0.402,Hanoi,email,21,6,Saturday
O0000221,C00928,2023-01-07,293.03,0.391,Hcmc,paid_search,14,6,Saturday
O0000222,C02712,2023-01-07,218.95,0.404,Hanoi,organic,20,6,Saturday
O0000223,C00924,2023-01-07,142.18,0.338,Hcmc,paid_search,15,6,Saturday
O0000224,C02098,2023-01-07,263.9,0.338,Taipei,social,20,6,Saturday
O0000225,C04777,2023-01-07,230.9,0.45,Hcmc,referral,21,6,Saturday
O0000226,C02108,2023-01-07,139.79,0.358,Hcmc,social,18,6,Saturday
O0000227,C00678,2023-01-07,232.68,0.318,Hcmc,paid_search,23,6,Saturday
O0000228,C02482,2023-01-07,238.31,0.45,Hcmc,social,20,6,Saturday
O0000229,C04107,2023-01-07,281.15,0.45,Hcmc,email,16,6,Saturday
O0000230,C03260,2023-01-07,184.05,0.45,Danang,organic,22,6,Saturday
O0000231,C00128,2023-01-07,210.89,0.326,Hanoi,paid_search,21,6,Saturday
O0000232,C01339,2023-01-07,165.46,0.43,Hcmc,social,14,6,Saturday
O0000233,C01514,2023-01-07,118.71,0.437,Hcmc,social,21,6,Saturday
O0000234,C02561,2023-01-07,164.39,0.356,Taipei,social,13,6,Saturday
O0000235,C03725,2023-01-07,184.86,0.449,Hcmc,email,22,6,Saturday
O0000236,C04211,2023-01-07,179.19,0.331,Hcmc,email,14,6,Saturday
O0000237,C01426,2023-01-07,173.6,0.376,Hcmc,social,23,6,Saturday
O0000238,C01891,2023-01-07,149.16,0.45,Hcmc,social,20,6,Saturday
O0000239,C02834,2023-01-07,216.75,0.258,Hcmc,organic,22,6,Saturday
O0000240,C01465,2023-01-07,201.64,0.428,Hanoi,social,15,6,Saturday
O0000241,C00071,2023-01-07,228.46,0.45,Hcmc,paid_search,20,6,Saturday
O0000242,C00750,2023-01-07,140.46,0.33,Hanoi,paid_search,20,6,Saturday
O0000243,C01347,2023-01-07,172.18,0.25,Hcmc,social,22,6,Saturday
O0000244,C04318,2023-01-07,185.23,0.35,Taipei,referral,15,6,Saturday
O0000245,C03285,2023-01-07,141.5,0.25,Danang,organic,20,6,Saturday
O0000246,C03205,2023-01-07,207.16,0.426,Hanoi,organic,15,6,Saturday
O0000247,C04695,2023-01-07,288.9,0.45,Hanoi,referral,14,6,Saturday
O0000248,C00632,2023-01-07,109.92,0.401,Hcmc,paid_search,20,6,Saturday
O0000249,C00676,2023-01-07,233.64,0.337,Hcmc,paid_search,22,6,Saturday
O0000250,C03679,2023-01-07,158.64,0.373,Hcmc,email,14,6,Saturday
O0000251,C00442,2023-01-07,239.2,0.359,Danang,paid_search,21,6,Saturday
O0000252,C04847,2023-01-07,262.18,0.296,Hcmc,referral,14,6,Saturday
O0000253,C01453,2023-01-07,178.33,0.45,Hanoi,social,14,6,Saturday
O0000254,C02893,2023-01-07,172.12,0.348,Danang,organic,20,6,Saturday
O0000255,C03150,2023-01-07,203.3,0.318,Hcmc,organic,21,6,Saturday
O0000256,C00759,2023-01-07,187.52,0.324,Hcmc,paid_search,13,6,Saturday
O0000257,C02967,2023-01-07,299.92,0.45,Hcmc,organic,20,6,Saturday
O0000258,C00073,2023-01-07,281.53,0.436,Hcmc,paid_search,20,6,Saturday
O0000259,C03134,2023-01-07,237.44,0.369,Hcmc,organic,20,6,Saturday
O0000260,C00233,2023-01-07,216.53,0.33,Hcmc,paid_search,21,6,Saturday
O0000261,C00742,2023-01-07,143.63,0.304,Hcmc,paid_search,20,6,Saturday
O0000262,C00667,2023-01-07,179.54,0.299,Hanoi,paid_search,18,6,Saturday
O0000263,C02564,2023-01-07,295.48,0.334,Hcmc,organic,15,6,Saturday
O0000264,C03163,2023-01-07,182.38,0.359,Taipei,organic,20,6,Saturday
O0000265,C04627,2023-01-07,270.57,0.26,Hcmc,referral,21,6,Saturday
O0000266,C00735,2023-01-07,195.09,0.313,Hanoi,paid_search,22,6,Saturday
O0000267,C02660,2023-01-07,149.6,0.381,Hcmc,organic,20,6,Saturday
O0000268,C03976,2023-01-07,139.15,0.441,Hanoi,email,20,6,Saturday
O0000269,C03432,2023-01-07,210.43,0.25,Danang,organic,20,6,Saturday
O0000270,C00440,2023-01-07,177.73,0.25,Hcmc,paid_search,20,6,Saturday
O0000271,C03177,2023-01-07,176.49,0.267,Hcmc,organic,22,6,Saturday
O0000272,C01984,2023-01-07,138.5,0.323,Hcmc,social,22,6,Saturday
O0000273,C00075,2023-01-07,229.22,0.336,Danang,paid_search,20,6,Saturday
O0000274,C03618,2023-01-07,193.59,0.419,Hcmc,email,22,6,Saturday
O0000275,C03581,2023-01-07,202.85,0.437,Taipei,email,13,6,Saturday
O0000276,C00553,2023-01-07,249.39,0.419,Hcmc,paid_search,21,6,Saturday
O0000277,C02849,2023-01-07,132.38,0.45,Danang,organic,21,6,Saturday
O0000278,C02886,2023-01-08,241.3,0.275,Taipei,organic,13,7,Sunday
O0000279,C01441,2023-01-08,128.22,0.383,Hcmc,social,20,7,Sunday
O0000280,C03611,2023-01-08,275.55,0.339,Hanoi,email,20,7,Sunday
O0000281,C00356,2023-01-08,189.66,0.337,Hanoi,paid_search,15,7,Sunday
O0000282,C03736,2023-01-08,265.17,0.293,Hcmc,email,20,7,Sunday
O0000283,C04416,2023-01-08,159.67,0.35,Hcmc,referral,13,7,Sunday
O0000284,C01403,2023-01-08,162.39,0.26,Danang,social,21,7,Sunday
O0000285,C01712,2023-01-08,154.62,0.34,Hcmc,social,20,7,Sunday
O0000286,C04868,2023-01-08,203.07,0.442,Hcmc,referral,20,7,Sunday
O0000287,C02784,2023-01-08,113.43,0.356,Hcmc,organic,21,7,Sunday
O0000288,C02199,2023-01-08,167.69,0.251,Hcmc,social,20,7,Sunday
O0000289,C02283,2023-01-08,202.16,0.45,Hcmc,social,15,7,Sunday
O0000290,C04777,2023-01-08,269.99,0.45,Hcmc,referral,13,7,Sunday
O0000291,C02712,2023-01-08,161.53,0.262,Hanoi,organic,21,7,Sunday
O0000292,C04450,2023-01-08,122.17,0.382,Hcmc,referral,13,7,Sunday
O0000293,C03728,2023-01-08,179.26,0.274,Hcmc,email,16,7,Sunday
O0000294,C00222,2023-01-08,270.09,0.314,Hanoi,paid_search,21,7,Sunday
O0000295,C03952,2023-01-08,140.73,0.427,Hcmc,email,20,7,Sunday
O0000296,C04407,2023-01-08,159.6,0.373,Danang,referral,20,7,Sunday
O0000297,C00046,2023-01-08,188.91,0.415,Danang,paid_search,20,7,Sunday
O0000298,C01919,2023-01-08,135.7,0.331,Taipei,social,16,7,Sunday
O0000299,C02163,2023-01-08,132.53,0.385,Hcmc,social,20,7,Sunday
O0000300,C02476,2023-01-08,199.74,0.343,Hcmc,social,21,7,Sunday
O0000301,C00799,2023-01-08,262.94,0.45,Hcmc,paid_search,21,7,Sunday
O0000302,C00322,2023-01-08,271.08,0.328,Danang,paid_search,21,7,Sunday
O0000303,C01887,2023-01-08,112.01,0.335,Hcmc,social,21,7,Sunday
O0000304,C00844,2023-01-08,183.45,0.45,Hanoi,paid_search,21,7,Sunday
O0000305,C04878,2023-01-08,102.25,0.36,Hanoi,referral,21,7,Sunday
O0000306,C03415,2023-01-08,287.62,0.45,Taipei,organic,22,7,Sunday
O0000307,C02816,2023-01-08,214.55,0.269,Taipei,organic,21,7,Sunday
O0000308,C00460,2023-01-08,147.91,0.403,Hcmc,paid_search,13,7,Sunday
O0000309,C03911,2023-01-08,144.28,0.345,Hcmc,email,20,7,Sunday
O0000310,C01591,2023-01-08,185.27,0.32,Hcmc,social,21,7,Sunday
O0000311,C00476,2023-01-08,366.08,0.364,Hcmc,paid_search,18,7,Sunday
O0000312,C02977,2023-01-08,201.07,0.419,Hcmc,organic,13,7,Sunday
O0000313,C01032,2023-01-08,167.42,0.271,Danang,paid_search,16,7,Sunday
O0000314,C00047,2023-01-08,152.64,0.298,Hcmc,paid_search,20,7,Sunday
O0000315,C02026,2023-01-08,226.91,0.349,Hcmc,social,13,7,Sunday
O0000316,C04596,2023-01-08,173.64,0.275,Taipei,referral,15,7,Sunday
O0000317,C02779,2023-01-08,123.89,0.345,Hcmc,organic,20,7,Sunday
O0000318,C03669,2023-01-08,183.47,0.45,Hcmc,email,21,7,Sunday
O0000319,C02314,2023-01-08,156.21,0.363,Hcmc,social,21,7,Sunday
O0000320,C03211,2023-01-08,99.66,0.384,Taipei,organic,22,7,Sunday
O0000321,C02089,2023-01-08,198.26,0.353,Hcmc,social,22,7,Sunday
O0000322,C03275,2023-01-08,94.19,0.294,Taipei,organic,21,7,Sunday
O0000323,C04157,2023-01-08,205.84,0.443,Hcmc,email,13,7,Sunday
O0000324,C04165,2023-01-09,146.1,0.346,Hcmc,email,21,1,Monday
O0000325,C01917,2023-01-09,183.56,0.288,Hcmc,social,20,1,Monday
O0000326,C04955,2023-01-09,164.0,0.357,Hcmc,referral,20,1,Monday
O0000327,C00827,2023-01-09,183.33,0.431,Hcmc,paid_search,14,1,Monday
O0000328,C03787,2023-01-09,134.02,0.276,Taipei,email,14,1,Monday
O0000329,C00865,2023-01-09,201.51,0.382,Hcmc,paid_search,13,1,Monday
O0000330,C01952,2023-01-09,105.86,0.299,Hcmc,social,20,1,Monday
O0000331,C03424,2023-01-09,273.5,0.433,Hcmc,organic,20,1,Monday
O0000332,C02983,2023-01-09,154.87,0.25,Hcmc,organic,21,1,Monday
