customer_id,signup_date,channel,location
C00083,2023-06-11,paid_search,hanoi
C00084,2025-04-16,email,hanoi
C00085,2024-09-24,email,hcmc
C00086,2024-12-04,paid_search,hanoi
C00087,2023-04-08,social,hcmc
C00088,2023-11-10,paid_search,hcmc
C00089,2025-02-09,paid_search,hcmc
C00090,2025-04-15,paid_search,hanoi
C00091,2024-03-12,referral,danang
C00092,2025-03-18,referral,hcmc
C00093,2025-04-25,paid_search,hanoi
C00094,2024-01-25,paid_search,taipei
C00095,2025-06-20,email,taipei
C00096,2023-10-17,email,hcmc
C00097,2023-08-29,paid_search,hanoi
C00098,2024-11-16,email,hanoi
C00099,2024-10-01,paid_search,taipei
C00100,2023-05-21,organic,hcmc
C00101,2025-04-16,social,danang
C00102,2023-07-20,organic,hcmc
C00103,2025-03-19,email,taipei
C00104,2023-01-08,paid_search,hcmc
C00105,2025-03-11,organic,hcmc
C00106,2025-03-01,paid_search,hcmc
C00107,2025-02-22,social,hcmc
C00108,2024-10-29,organic,hcmc
C00109,2024-04-18,social,hcmc
C00110,2024-12-08,paid_search,hcmc
C00111,2023-10-06,social,hcmc
C00112,2025-02-22,email,taipei
C00113,2024-07-11,email,taipei
C00114,2024-04-05,email,hanoi
C00115,2024-05-22,organic,hcmc
C00116,2024-07-25,social,hcmc
C00117,2023-02-07,paid_search,danang
C00118,2023-05-21,paid_search,hcmc
C00119,2023-09-04,social,hcmc
C00120,2023-04-25,organic,danang
C00121,2024-03-17,paid_search,danang
C00122,2024-11-02,paid_search,hcmc
C00123,2024-10-19,organic,hanoi
C00124,2024-04-17,organic,hcmc
C00125,2025-05-08,organic,taipei
C00126,2024-07-21,paid_search,hcmc
C00127,2023-03-21,email,hcmc
C00128,2025-02-07,paid_search,hanoi
C00129,2024-07-30,paid_search,hcmc
C00130,2024-09-29,organic,hanoi
C00131,2024-07-21,email,hcmc
C00132,2024-07-09,social,taipei
C00133,2023-04-01,organic,taipei
C00134,2024-07-15,organic,hcmc
C00135,2025-03-09,social,taipei
C00136,2023-11-02,organic,hcmc
C00137,2024-08-28,email,hcmc
C00138,2023-01-31,paid_search,hcmc
C00139,2023-12-15,email,taipei
C00140,2024-03-14,organic,taipei
C00141,2025-09-13,organic,danang
C00142,2023-08-04,email,taipei
C00143,2023-10-05,email,danang
C00144,2024-02-15,paid_search,hcmc
C00145,2025-09-23,paid_search,danang
C00146,2025-05-06,organic,hanoi
C00147,2023-02-04,paid_search,hcmc
C00148,2023-08-23,referral,hanoi
C00149,2025-04-04,social,hcmc
C00150,2023-02-28,paid_search,hcmc
C00151,2025-05-09,email,hcmc
C00152,2023-10-10,organic,hcmc
C00153,2025-07-10,social,hcmc
C00154,2023-10-22,paid_search,taipei
C00155,2024-03-12,paid_search,hanoi
C00156,2024-10-26,organic,hcmc
C00157,2023-05-07,organic,hcmc
C00158,2024-07-13,organic,hcmc
C00159,2024-05-22,social,hcmc
C00160,2025-02-26,organic,taipei
C00161,2025-09-27,paid_search,hcmc
C00162,2024-10-28,referral,hanoi
C00163,2024-02-15,paid_search,taipei
C00164,2024-02-13,social,hanoi
C00165,2024-02-24,organic,taipei
C00166,2025-03-28,organic,hcmc
C00167,2023-11-19,social,taipei
C00168,2023-06-17,social,hanoi
C00169,2023-12-02,organic,taipei
C00170,2023-01-23,organic,hanoi
C00171,2023-04-17,referral,taipei
C00172,2023-04-01,email,danang
C00173,2025-02-13,paid_search,hcmc
C00174,2024-12-26,organic,taipei
C00175,2024-11-30,referral,hanoi
C00176,2024-04-08,referral,hcmc
C00177,2024-12-20,social,danang
C00178,2023-06-11,paid_search,hcmc
C00179,2025-06-23,paid_search,hanoi
C00180,2024-05-18,organic,hcmc
C00181,2025-07-30,paid_search,hcmc
C00182,2023-06-02,social,taipei
C00183,2024-05-14,referral,hcmc
C00184,2024-11-30,organic,hcmc
C00185,2024-05-12,paid_search,hcmc
C00186,2024-03-23,referral,hcmc
C00187,2023-06-16,email,taipei
C00188,2024-01-18,email,taipei
C00189,2023-08-28,paid_search,hcmc
C00190,2023-10-30,email,hanoi
C00191,2024-11-17,organic,hcmc
C00192,2024-09-24,organic,hanoi
C00193,2024-09-01,email,hcmc
C00194,2023-12-30,organic,hcmc
C00195,2025-08-21,social,hcmc
C00196,2023-03-30,referral,hanoi
C00197,2023-12-10,organic,hcmc
C00198,2023-04-29,social,hcmc
C00199,2023-12-07,email,taipei
C00200,2025-08-23,email,hanoi
C00201,2024-01-03,social,hcmc
C00202,2025-07-01,organic,taipei
C00203,2024-05-12,social,taipei
C00204,2024-12-03,paid_search,hcmc
C00205,2024-04-04,email,hanoi
C00206,2023-09-24,organic,hcmc
C00207,2025-02-06,paid_search,hanoi
C00208,2025-08-31,referral,hcmc
C00209,2023-09-22,social,hanoi
C00210,2025-02-20,paid_search,hcmc
C00211,2023-09-20,email,hcmc
C00212,2024-12-20,paid_search,danang
C00213,2025-03-03,paid_search,hcmc
C00214,2024-03-27,referral,taipei
C00215,2025-01-09,organic,danang
C00216,2023-10-01,paid_search,taipei
C00217,2023-03-21,social,hcmc
C00218,2023-04-07,email,taipei
C00219,2024-03-24,paid_search,hcmc
C00220,2025-06-25,referral,hcmc
C00221,2023-05-09,referral,taipei
C00222,2024-04-02,referral,hanoi
C00223,2024-12-07,email,hcmc
C00224,2023-07-23,social,hcmc
C00225,2024-12-25,paid_search,taipei
C00226,2023-11-04,organic,hanoi
C00227,2025-03-22,social,hcmc
C00228,2024-08-04,organic,taipei
C00229,2024-07-03,email,hcmc
C00230,2023-06-27,social,hcmc
C00231,2024-04-10,referral,hanoi
C00232,2025-05-10,paid_search,danang
C00233,2023-01-20,social,hcmc
C00234,2025-01-31,social,hcmc
C00235,2024-05-09,organic,hcmc
C00236,2024-12-23,paid_search,taipei
C00237,2024-10-27,organic,hcmc
C00238,2024-03-09,paid_search,hcmc
C00239,2023-11-06,social,danang
C00240,2024-09-21,social,hcmc
C00241,2023-05-21,paid_search,hanoi
C00242,2024-08-09,organic,hcmc
C00243,2023-04-06,organic,taipei
C00244,2024-10-14,organic,hcmc
C00245,2024-09-23,organic,hcmc
C00246,2023-03-26,social,hcmc
C00247,2025-01-30,social,hanoi
C00248,2024-02-22,organic,taipei
C00249,2025-03-01,email,hcmc
C00250,2023-02-11,organic,hcmc
C00251,2023-06-30,social,taipei
C00252,2024-05-10,social,hcmc
C00253,2023-07-08,paid_search,hcmc
C00254,2023-11-28,paid_search,hanoi
C00255,2024-10-25,email,hcmc
C00256,2023-05-26,paid_search,hcmc
C00257,2024-11-11,paid_search,hcmc
C00258,2023-04-14,paid_search,hcmc
C00259,2023-06-25,paid_search,hcmc
C00260,2024-08-12,social,hanoi
C00261,2025-03-07,paid_search,hanoi
C00262,2023-06-21,organic,hcmc
C00263,2023-10-29,email,taipei
C00264,2025-07-17,social,hcmc
C00265,2025-09-20,paid_search,taipei
C00266,2024-08-06,social,hcmc
C00267,2024-03-24,social,taipei
C00268,2023-12-15,social,hcmc
C00269,2024-09-06,paid_search,hcmc
C00270,2024-08-16,social,hcmc
C00271,2023-10-23,paid_search,hcmc
C00272,2023-01-23,social,hcmc
C00273,2023-06-02,paid_search,hanoi
C00274,2025-08-20,social,taipei
C00275,2024-02-24,paid_search,hcmc
C00276,2024-04-29,referral,taipei
C00277,2024-04-13,paid_search,taipei
C00278,2025-02-24,paid_search,taipei
C00279,2023-03-07,paid_search,hanoi
C00280,2023-03-25,email,hanoi
C00281,2023-10-04,social,hcmc
C00282,2024-05-03,organic,hanoi
C00283,2024-11-04,referral,danang
C00284,2024-05-07,paid_search,hcmc
C00285,2024-03-18,paid_search,hcmc
C00286,2025-07-30,organic,hcmc
C00287,2023-06-11,email,danang
C00288,2024-07-28,paid_search,hcmc
C00289,2024-06-28,organic,hanoi
C00290,2024-04-20,paid_search,taipei
C00291,2025-03-21,email,danang
C00292,2023-09-26,paid_search,hcmc
C00293,2025-08-15,social,taipei
C00294,2023-11-29,paid_search,taipei
C00295,2024-07-01,social,hcmc
C00296,2024-06-06,paid_search,taipei
C00297,2025-05-03,paid_search,hcmc
C00298,2024-03-16,paid_search,hanoi
C00299,2023-10-13,organic,hcmc
C00300,2023-01-22,paid_search,hcmc
C00301,2024-01-01,referral,hcmc
C00302,2025-04-09,paid_search,hcmc
C00303,2023-01-10,email,hcmc
C00304,2025-06-18,paid_search,hanoi
C00305,2024-06-28,social,hcmc
C00306,2023-05-21,social,hcmc
C00307,2023-10-31,organic,hanoi
C00308,2024-07-10,organic,hanoi
C00309,2023-11-13,referral,hcmc
C00310,2023-04-20,social,danang
C00311,2024-10-30,social,hcmc
C00312,2024-11-05,social,taipei
C00313,2023-04-30,paid_search,hcmc
C00314,2023-10-10,organic,hanoi
C00315,2023-09-02,organic,danang
C00316,2024-10-24,paid_search,taipei
C00317,2025-01-03,organic,hanoi
C00318,2024-12-30,organic,hanoi
C00319,2025-07-31,paid_search,hcmc
C00320,2025-02-10,organic,hanoi
C00321,2023-11-18,email,taipei
C00322,2023-04-19,email,danang
C00323,2024-09-09,paid_search,hcmc
C00324,2025-07-08,social,hcmc
C00325,2025-09-06,paid_search,hanoi
C00326,2023-08-20,organic,hcmc
C00327,2023-08-26,paid_search,hcmc
C00328,2023-02-07,paid_search,hcmc
C00329,2023-05-22,social,hanoi
C00330,2024-07-11,email,hcmc
C00331,2024-07-02,referral,hcmc
C00332,2024-01-08,paid_search,hcmc
C00333,2023-11-08,organic,taipei
C00334,2025-04-13,social,hanoi
C00335,2024-04-06,email,hcmc
C00336,2025-03-22,email,hcmc
C00337,2025-08-25,email,hanoi
C00338,2023-11-15,organic,hcmc
C00339,2023-07-23,social,hanoi
C00340,2025-08-14,paid_search,hcmc
C00341,2024-09-29,paid_search,danang
C00342,2023-10-20,organic,hcmc
C00343,2024-09-16,paid_search,hanoi
C00344,2024-06-01,referral,hcmc
C00345,2025-06-28,referral,danang
C00346,2023-09-14,paid_search,danang
C00347,2025-09-22,social,hanoi
C00348,2025-07-28,paid_search,hcmc
C00349,2023-07-01,paid_search,hcmc
C00350,2023-06-15,organic,taipei
C00351,2024-06-19,social,hanoi
C00352,2023-02-15,organic,hcmc
C00353,2023-10-27,social,hcmc
C00354,2024-03-12,paid_search,hcmc
C00355,2025-08-31,referral,taipei
C00356,2025-09-23,social,hanoi
C00357,2023-06-02,paid_search,hanoi
C00358,2025-06-14,paid_search,hanoi
C00359,2023-04-02,social,hcmc
C00360,2025-01-21,referral,hcmc
C00361,2025-04-29,paid_search,hcmc
C00362,2025-06-13,organic,taipei
C00363,2023-08-13,paid_search,hcmc
C00364,2025-06-16,paid_search,hcmc
C00365,2023-04-27,paid_search,hcmc
C00366,2024-06-04,organic,hcmc
C00367,2024-04-16,paid_search,hanoi
C00368,2023-11-14,social,hcmc
C00369,2023-01-23,paid_search,hcmc
C00370,2025-02-14,social,taipei
C00371,2023-12-03,referral,hcmc
C00372,2024-10-26,paid_search,hcmc
C00373,2024-02-16,organic,hcmc
C00374,2024-01-11,email,taipei
C00375,2025-06-08,email,hcmc
C00376,2023-04-05,social,taipei
C00377,2025-01-09,referral,danang
C00378,2025-01-19,paid_search,hanoi
C00379,2024-01-17,social,hcmc
C00380,2023-09-21,paid_search,hanoi
C00381,2023-01-06,social,hcmc
C00382,2025-07-29,social,hcmc
C00383,2025-08-09,organic,hcmc
C00384,2023-08-30,social,hcmc
C00385,2023-02-02,social,hcmc
C00386,2023-05-04,social,hcmc
C00387,2023-03-09,paid_search,hcmc
C00388,2025-04-14,paid_search,hcmc
C00389,2025-06-14,organic,hanoi
C00390,2023-06-03,paid_search,danang
C00391,2025-01-19,referral,hcmc
C00392,2023-06-29,email,hanoi
C00393,2024-01-04,organic,hcmc
C00394,2024-08-24,paid_search,hcmc
C00395,2024-12-23,organic,hcmc
C00396,2025-05-28,social,hcmc
C00397,2023-02-14,email,hcmc
C00398,2023-07-17,social,hcmc
C00399,2023-10-09,social,hcmc
C00400,2023-11-08,paid_search,hcmc
C00401,2025-09-29,paid_search,hcmc
C00402,2025-02-19,referral,hcmc
C00403,2023-11-18,referral,hcmc
C00404,2025-09-02,paid_search,hcmc
C00405,2024-05-16,organic,hcmc
C00406,2024-05-17,paid_search,hcmc
C00407,2024-03-11,email,hcmc
C00408,2023-05-25,social,hcmc
C00409,2025-07-27,email,danang
C00410,2023-01-14,paid_search,hcmc
C00411,2023-06-24,social,hcmc
C00412,2023-08-19,paid_search,hcmc
C00413,2023-10-08,paid_search,danang
C00414,2023-05-13,referral,hanoi
C00415,2023-01-19,social,hanoi
C00416,2024-11-11,organic,danang
C00417,2025-08-31,social,hcmc
C00418,2023-05-03,social,danang
C00419,2023-10-25,paid_search,hcmc
C00420,2024-05-23,referral,hanoi
C00421,2025-07-20,paid_search,hcmc
C00422,2024-11-28,paid_search,hcmc
C00423,2025-02-08,organic,danang
C00424,2024-08-06,referral,hcmc
C00425,2024-02-23,social,danang
C00426,2023-07-20,email,hcmc
C00427,2025-05-17,email,hanoi
C00428,2025-03-18,social,danang
C00429,2023-01-26,referral,hcmc
C00430,2024-12-19,social,danang
C00431,2023-03-26,email,hanoi
C00432,2025-01-11,paid_search,hanoi
C00433,2025-04-09,social,hcmc
C00434,2023-05-12,social,hcmc
C00435,2024-03-11,email,hanoi
C00436,2023-05-05,email,hcmc
C00437,2024-07-23,paid_search,hcmc
C00438,2025-07-20,email,hcmc
C00439,2023-03-23,social,taipei
C00440,2024-02-04,email,hcmc
C00441,2025-09-04,social,hanoi
C00442,2023-10-30,referral,danang
C00443,2023-05-13,organic,hcmc
C00444,2024-05-05,organic,hcmc
C00445,2024-05-25,paid_search,hanoi
C00446,2024-10-27,email,hcmc
C00447,2023-11-11,paid_search,hanoi
C00448,2025-08-17,referral,hanoi
C00449,2024-06-07,email,hanoi
C00450,2023-10-15,paid_search,hcmc
C00451,2025-08-22,paid_search,hanoi
C00452,2025-07-17,paid_search,hanoi
C00453,2024-05-16,referral,hcmc
C00454,2023-01-25,social,hanoi
C00455,2024-08-22,social,taipei
C00456,2024-07-11,organic,hanoi
C00457,2023-05-29,email,hcmc
C00458,2024-09-28,email,hcmc
C00459,2025-04-24,paid_search,hcmc
C00460,2023-04-17,social,hcmc
C00461,2024-12-27,social,hcmc
C00462,2023-05-21,email,danang
C00463,2025-01-21,organic,hcmc
C00464,2024-02-25,paid_search,taipei
C00465,2023-01-07,paid_search,hcmc
C00466,2025-08-28,social,hcmc
C00467,2023-06-16,organic,hcmc
C00468,2024-08-21,social,hcmc
C00469,2023-07-02,organic,taipei
C00470,2025-07-25,paid_search,danang
C00471,2025-01-11,social,taipei
C00472,2025-03-18,organic,hcmc
C00473,2024-03-09,social,taipei
C00474,2024-04-14,paid_search,hcmc
C00475,2024-09-28,organic,danang
C00476,2025-02-26,email,hcmc
C00477,2025-04-30,paid_search,hcmc
C00478,2023-01-18,organic,hcmc
C00479,2024-10-28,organic,hcmc
C00480,2023-04-20,organic,hcmc
C00481,2023-10-17,organic,danang
C00482,2025-04-12,email,taipei
C00483,2023-09-09,organic,danang
C00484,2025-03-11,paid_search,hcmc
C00485,2024-04-09,social,hanoi
C00486,2023-08-22,paid_search,hcmc
C00487,2023-12-02,organic,hcmc
C00488,2024-06-16,social,hcmc
C00489,2025-02-07,organic,hcmc
C00490,2024-08-31,paid_search,hanoi
C00491,2025-07-25,paid_search,hcmc
C00492,2025-05-21,paid_search,hcmc
C00493,2025-01-26,email,hanoi
C00494,2024-08-28,social,hcmc
C00495,2023-10-19,paid_search,danang
C00496,2024-02-19,social,hcmc
C00497,2023-04-30,email,taipei
C00498,2024-01-11,paid_search,hanoi
C00499,2025-07-19,social,hanoi
C00500,2024-03-03,paid_search,hanoi
C00501,2023-04-25,paid_search,taipei
C00502,2024-10-16,paid_search,hanoi
C00503,2025-08-24,paid_search,hcmc
C00504,2025-05-20,social,hcmc
C00505,2023-10-03,paid_search,hanoi
C00506,2024-03-31,paid_search,hcmc
C00507,2024-06-17,social,hcmc
C00508,2023-09-06,social,hcmc
C00509,2023-09-27,social,hcmc
C00510,2023-08-26,paid_search,hcmc
C00511,2025-09-25,organic,hanoi
C00512,2025-01-18,paid_search,taipei
C00513,2025-04-24,paid_search,taipei
C00514,2025-03-30,organic,hcmc
C00515,2025-08-20,social,hcmc
C00516,2023-04-16,social,hanoi
C00517,2025-06-04,organic,hcmc
C00518,2023-03-08,email,hanoi
C00519,2024-04-22,organic,hcmc
C00520,2024-08-19,social,danang
C00521,2023-12-26,paid_search,hcmc
C00522,2023-05-27,paid_search,taipei
C00523,2023-07-13,email,hanoi
C00524,2025-04-07,organic,hcmc
C00525,2023-11-16,email,hanoi
C00526,2023-11-08,paid_search,hcmc
C00527,2025-07-16,social,taipei
C00528,2023-05-25,referral,hanoi
C00529,2025-07-07,paid_search,hcmc
C00530,2025-07-13,organic,hcmc
C00531,2024-08-23,social,taipei
C00532,2023-06-16,organic,hcmc
C00533,2023-06-06,email,taipei
C00534,2023-10-13,email,taipei
C00535,2024-08-02,social,hanoi
C00536,2023-06-04,paid_search,hcmc
C00537,2024-04-02,social,hanoi
C00538,2023-04-26,email,danang
C00539,2024-06-26,referral,hcmc
C00540,2023-01-22,organic,hcmc
C00541,2024-12-12,organic,hcmc
C00542,2023-02-25,organic,hcmc
C00543,2023-07-15,organic,hanoi
C00544,2023-06-25,paid_search,hcmc
C00545,2025-04-14,paid_search,hanoi
C00546,2023-02-23,organic,hcmc
C00547,2024-03-06,organic,hcmc
C00548,2024-08-16,organic,hcmc
C00549,2024-06-02,referral,taipei
C00550,2024-11-14,paid_search,hanoi
C00551,2025-03-17,organic,hcmc
C00552,2024-01-31,organic,taipei
C00553,2025-04-11,social,hcmc
C00554,2023-11-16,organic,hcmc
C00555,2025-09-15,social,hcmc
C00556,2024-05-21,organic,danang
C00557,2025-01-08,email,hanoi
C00558,2025-05-28,organic,hanoi
C00559,2025-03-06,email,hcmc
C00560,2025-05-04,paid_search,hcmc
C00561,2024-06-22,email,hanoi
C00562,2023-02-13,social,hcmc
C00563,2024-05-10,paid_search,danang
C00564,2023-07-02,organic,taipei
C00565,2025-06-11,social,hcmc
C00566,2023-08-26,organic,hanoi
C00567,2023-08-17,paid_search,danang
C00568,2023-09-08,email,hcmc
C00569,2024-10-07,referral,hanoi
C00570,2024-07-27,referral,danang
C00571,2025-08-10,social,hcmc
C00572,2024-02-22,organic,taipei
C00573,2023-10-11,organic,hcmc
C00574,2023-02-19,social,hanoi
C00575,2023-01-08,organic,taipei
C00576,2024-01-11,referral,hanoi
C00577,2025-07-18,social,hcmc
C00578,2024-06-09,paid_search,hanoi
C00579,2025-06-16,email,hcmc
C00580,2023-04-13,paid_search,hcmc
C00581,2023-04-04,referral,hcmc
C00582,2025-04-16,referral,hanoi
C00583,2023-04-18,paid_search,hcmc
C00584,2023-02-22,social,hcmc
C00585,2024-02-10,paid_search,taipei
C00586,2025-07-17,paid_search,hcmc
C00587,2024-11-23,organic,hcmc
C00588,2023-04-10,paid_search,hcmc
C00589,2025-04-20,paid_search,hcmc
C00590,2025-04-26,social,hanoi
C00591,2025-03-14,paid_search,hcmc
C00592,2025-06-25,referral,hcmc
C00593,2023-08-29,organic,danang
C00594,2025-09-10,social,taipei
C00595,2023-11-18,social,hanoi
C00596,2025-03-16,paid_search,taipei
C00597,2024-08-04,social,danang
C00598,2025-02-21,paid_search,hcmc
C00599,2024-09-22,email,hanoi
C00600,2024-10-07,organic,hanoi
C00601,2024-09-10,paid_search,hcmc
C00602,2025-02-21,social,hcmc
C00603,2025-01-11,email,hcmc
C00604,2023-05-16,organic,hanoi
C00605,2025-04-09,paid_search,taipei
C00606,2024-06-22,paid_search,taipei
C00607,2023-11-21,organic,hcmc
C00608,2024-05-31,social,hcmc
C00609,2025-08-28,organic,hcmc
C00610,2025-05-11,paid_search,hcmc
C00611,2025-04-17,referral,danang
C00612,2024-04-09,organic,taipei
C00613,2025-02-26,social,danang
C00614,2024-01-22,social,taipei
C00615,2024-11-19,paid_search,danang
C00616,2024-10-04,referral,hcmc
C00617,2023-09-08,organic,hcmc
C00618,2023-09-25,referral,hcmc
C00619,2023-03-03,organic,hcmc
C00620,2023-05-21,social,hcmc
C00621,2024-03-11,social,hcmc
C00622,2024-04-24,paid_search,danang
C00623,2023-06-15,referral,hcmc
C00624,2024-02-23,organic,danang
C00625,2024-08-29,social,taipei
C00626,2023-08-22,paid_search,hanoi
C00627,2023-12-06,social,hanoi
C00628,2024-01-04,referral,hcmc
C00629,2024-05-22,organic,hanoi
C00630,2024-01-03,paid_search,hcmc
C00631,2025-01-09,email,danang
C00632,2023-11-25,paid_search,hcmc
C00633,2024-03-11,email,hcmc
C00634,2024-01-16,organic,hanoi
C00635,2023-07-03,paid_search,hanoi
C00636,2024-11-19,social,hcmc
C00637,2023-08-25,paid_search,hanoi
C00638,2023-10-26,paid_search,hcmc
C00639,2025-03-06,organic,hanoi
C00640,2025-08-10,social,hcmc
C00641,2024-11-04,email,hcmc
C00642,2025-07-09,paid_search,hcmc
C00643,2025-05-07,organic,hcmc
C00644,2024-04-27,organic,hcmc
C00645,2025-02-12,paid_search,hcmc
C00646,2023-11-26,social,hcmc
C00647,2024-04-07,email,hcmc
C00648,2024-06-21,social,hcmc
C00649,2025-08-22,email,hcmc
C00650,2025-05-01,organic,hanoi
C00651,2024-05-06,organic,danang
C00652,2024-10-17,paid_search,hcmc
C00653,2023-07-23,social,danang
C00654,2025-03-18,email,hcmc
C00655,2024-07-09,paid_search,hcmc
C00656,2024-06-18,email,hanoi
C00657,2025-02-08,paid_search,taipei
C00658,2024-09-27,organic,taipei
C00659,2023-03-14,email,hcmc
C00660,2023-10-17,organic,taipei
C00661,2023-06-27,email,hcmc
C00662,2025-01-07,social,hcmc
C00663,2023-02-05,social,hcmc
C00664,2023-07-23,organic,danang
C00665,2024-08-22,paid_search,hcmc
C00666,2024-11-28,paid_search,taipei
C00667,2024-05-20,referral,hanoi
C00668,2025-05-14,referral,hanoi
C00669,2025-07-11,social,hanoi
C00670,2023-05-13,email,taipei
C00671,2025-08-14,paid_search,hcmc
C00672,2024-09-08,organic,hcmc
C00673,2024-09-30,social,hanoi
C00674,2023-04-06,social,hcmc
C00675,2024-09-16,paid_search,hcmc
C00676,2024-12-29,paid_search,hcmc
C00677,2024-08-06,organic,hcmc
C00678,2023-03-26,referral,hcmc
C00679,2024-06-09,email,hcmc
C00680,2025-07-28,organic,danang
C00681,2024-12-27,social,hcmc
C00682,2023-05-18,paid_search,danang
C00683,2025-08-21,paid_search,danang
C00684,2025-08-20,referral,hcmc
C00685,2023-06-20,paid_search,hanoi
C00686,2025-03-15,social,hanoi
C00687,2024-02-13,referral,hanoi
C00688,2024-08-19,paid_search,hcmc
C00689,2024-03-22,organic,hcmc
C00690,2025-02-24,paid_search,hcmc
C00691,2025-09-27,paid_search,hanoi
C00692,2025-03-09,social,danang
C00693,2025-07-24,social,hanoi
C00694,2025-08-07,paid_search,hanoi
C00695,2023-04-01,social,danang
C00696,2023-09-12,organic,hanoi
C00697,2024-12-25,organic,hcmc
C00698,2024-08-15,organic,taipei
C00699,2023-02-20,paid_search,hcmc
C00700,2023-04-06,paid_search,hcmc
C00701,2024-06-06,social,hcmc
C00702,2024-09-10,email,danang
C00703,2023-06-18,referral,hcmc
C00704,2023-06-21,paid_search,hcmc
C00705,2023-05-10,paid_search,hcmc
C00706,2024-07-21,paid_search,hcmc
C00707,2023-01-08,paid_search,hcmc
C00708,2024-07-28,paid_search,hanoi
C00709,2024-04-22,social,taipei
C00710,2024-04-12,social,hcmc
C00711,2024-11-12,paid_search,hcmc
C00712,2024-06-08,paid_search,hcmc
C00713,2024-12-31,organic,hcmc
C00714,2025-02-05,email,hanoi
C00715,2025-07-12,social,hanoi
C00716,2025-03-13,social,hanoi
C00717,2024-06-03,social,hcmc
C00718,2024-05-09,organic,hanoi
C00719,2023-08-25,social,hcmc
C00720,2024-08-24,organic,hcmc
C00721,2023-05-20,organic,danang
C00722,2025-07-23,paid_search,taipei
C00723,2025-04-28,paid_search,danang
C00724,2023-05-01,paid_search,danang
C00725,2025-02-28,paid_search,hanoi
C00726,2023-04-28,social,danang
C00727,2024-12-25,paid_search,hcmc
C00728,2023-03-30,paid_search,hcmc
C00729,2024-05-05,paid_search,hcmc
C00730,2024-10-22,social,hcmc
C00731,2025-01-01,social,hcmc
C00732,2024-02-25,organic,hcmc
C00733,2025-07-14,paid_search,hanoi
C00734,2025-02-16,paid_search,taipei
C00735,2023-07-29,organic,hanoi
C00736,2024-11-04,social,hcmc
C00737,2025-01-03,social,hanoi
C00738,2023-12-01,social,hcmc
C00739,2025-01-11,email,hcmc
